"CT School Day SAT, 2024-25"
"All Districts, All Subjects, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Total Numberof Students","Total NumberTested","CT School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Sterling School District","=""1360011""","ELA","*",0,"*",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,,"Math","*",0,"*",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Stonington School District","=""1370011""","ELA",132,129,97.7,129,11,8.5,15,11.6,76,58.9,27,20.9,103,79.8,548
,,"Math",132,129,97.7,129,17,13.2,60,46.5,35,27.1,17,13.2,52,40.3,518
"Stratford School District","=""1380011""","ELA",569,551,96.8,551,147,26.7,135,24.5,243,44.1,26,4.7,269,48.8,473
,,"Math",569,551,96.8,551,241,43.7,237,43.0,67,12.2,6,1.1,73,13.2,435
"Suffield School District","=""1390011""","ELA",143,139,97.2,137,23,16.8,16,11.7,65,47.4,33,24.1,98,71.5,541
,,"Math",143,139,97.2,137,26,19.0,53,38.7,43,31.4,15,10.9,58,42.3,508
"The Bridge Academy District","=""2690013""","ELA",45,45,100.0,45,17,37.8,"*","*",15,33.3,"*","*","*","*",453
,,"Math",45,45,100.0,45,21,46.7,18,40.0,"*","*","*","*",6,13.3,438
"The Gilbert School District","=""9020022""","ELA",61,58,95.1,58,14,24.1,"*","*",26,44.8,"*","*","*","*",488
,,"Math",61,58,95.1,58,25,43.1,24,41.4,"*","*","*","*",9,15.5,439
"The Woodstock Academy District","=""9030022""","ELA",276,271,98.2,270,47,17.4,41,15.2,139,51.5,43,15.9,182,67.4,517
,,"Math",276,271,98.2,270,64,23.7,114,42.2,67,24.8,25,9.3,92,34.1,488
"Thomaston School District","=""1400011""","ELA",41,40,97.6,40,"*","*","*","*",19,47.5,8,20.0,27,67.5,529
,,"Math",41,40,97.6,40,11,27.5,19,47.5,10,25.0,0,0.0,10,25.0,470
"Thompson School District","=""1410011""","ELA",56,48,85.7,46,"*","*",11,23.9,24,52.2,"*","*","*","*",493
,,"Math",56,48,85.7,46,"*","*",22,47.8,"*","*",0,0.0,"*","*",436
"Tolland School District","=""1420011""","ELA",171,168,98.2,168,24,14.3,18,10.7,96,57.1,30,17.9,126,75.0,526
,,"Math",171,168,98.2,168,30,17.9,57,33.9,52,31.0,29,17.3,81,48.2,518
"Torrington School District","=""1430011""","ELA",277,257,92.8,257,89,34.6,51,19.8,99,38.5,18,7.0,117,45.5,460
,,"Math",277,257,92.8,257,124,48.2,88,34.2,"*","*","*","*",45,17.5,435
"Trumbull School District","=""1440011""","ELA",560,555,99.1,555,48,8.6,60,10.8,338,60.9,109,19.6,447,80.5,545
,,"Math",560,555,99.1,555,75,13.5,201,36.2,187,33.7,92,16.6,279,50.3,532
"Unified School District #2","=""3470015""","ELA",13,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
,,"Math",13,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","ELA",246,233,94.7,233,80,34.3,40,17.2,92,39.5,21,9.0,113,48.5,472
,,"Math",246,233,94.7,233,101,43.3,77,33.0,46,19.7,9,3.9,55,23.6,448
"Wallingford School District","=""1480011""","ELA",413,397,96.1,397,71,17.9,73,18.4,199,50.1,54,13.6,253,63.7,511
,,"Math",413,397,96.1,397,112,28.2,171,43.1,90,22.7,24,6.0,114,28.7,478
"Waterbury School District","=""1510011""","ELA",1214,1168,96.2,1168,617,52.8,212,18.2,303,25.9,36,3.1,339,29.0,418
,,"Math",1214,1168,96.2,1168,803,68.8,245,21.0,97,8.3,23,2.0,120,10.3,389
"Waterford School District","=""1520011""","ELA",186,181,97.3,181,16,8.8,25,13.8,113,62.4,27,14.9,140,77.3,540
,,"Math",186,181,97.3,181,20,11.0,57,31.5,83,45.9,21,11.6,104,57.5,536
"Watertown School District","=""1530011""","ELA",178,168,94.4,167,39,23.4,30,18.0,88,52.7,10,6.0,98,58.7,492
,,"Math",178,168,94.4,167,53,31.7,69,41.3,"*","*","*","*",45,26.9,464
"West Hartford School District","=""1550011""","ELA",705,690,97.9,689,80,11.6,66,9.6,318,46.2,225,32.7,543,78.8,563
,,"Math",705,690,97.9,689,115,16.7,194,28.2,232,33.7,148,21.5,380,55.2,540
"West Haven School District","=""1560011""","ELA",500,474,94.8,470,194,41.3,99,21.1,166,35.3,11,2.3,177,37.7,443
,,"Math",500,474,94.8,470,240,51.1,180,38.3,"*","*","*","*",50,10.6,420
"Westbrook School District","=""1540011""","ELA",44,43,97.7,43,13,30.2,"*","*",17,39.5,"*","*","*","*",497
,,"Math",44,43,97.7,43,"*","*",19,44.2,14,32.6,"*","*","*","*",497
"Weston School District","=""1570011""","ELA",169,166,98.2,166,7,4.2,8,4.8,69,41.6,82,49.4,151,91.0,605
,,"Math",169,166,98.2,166,10,6.0,36,21.7,68,41.0,52,31.3,120,72.3,583
"Westport School District","=""1580011""","ELA",407,405,99.5,405,19,4.7,19,4.7,179,44.2,188,46.4,367,90.6,606
,,"Math",407,405,99.5,405,27,6.7,74,18.3,167,41.2,137,33.8,304,75.1,593
"Wethersfield School District","=""1590011""","ELA",293,292,99.7,292,55,18.8,49,16.8,156,53.4,32,11.0,188,64.4,507
,,"Math",293,292,99.7,292,82,28.1,123,42.1,68,23.3,19,6.5,87,29.8,480
"Wilton School District","=""1610011""","ELA",288,282,97.9,282,9,3.2,10,3.5,139,49.3,124,44.0,263,93.3,605
