"Student Counts by School and Year"
"All Districts, All Schools"
"2024-25"

"District","District Code","School","School Code","Count"
,,"STEP at Hartford Public High School","=""0648411""",37
,,"Sanchez School","=""0643011""",311
,,"Sport and Medical Sciences Academy","=""0646511""",463
,,"University High School of Science and Engineering","=""0646711""",406
,,"Weaver High School","=""0646311""",721
,,"Webster Micro Society Magnet School","=""0642011""",626
,,"West Middle School","=""0642111""",289
,,"Wish Museum School","=""0642211""",297
,,"iGOAL - Weaver High School","=""0641410""",13
,,"iGOAL 1 - Breakthrough Magnet School, North","=""0649511""",9
,,"iGOAL 1 - HPHS","=""0644911""",20
,,"iGOAL 1 - M.D. Fox School","=""0645711""",10
,,"iGOAL 1 - Milner School","=""0640110""",18
,,"iGOAL 1 - Rawson School","=""0644411""",34
,,"iGOAL 2 - Kennelly School","=""0640210""",7
,,"iGOAL 2 - Moylan School","=""0648511""",12
,,"iGOAL Pre-K - Rawson School","=""0640810""",8
"Hartland School District","=""0650011""","Hartland School","=""0650111""",121
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""",317
,,"Hebron Elementary School","=""0670111""",364
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",499
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",364
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",328
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",571
"Kent School District","=""0680011""","Kent Center School","=""0680111""",180
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""",118
,,"Killingly Central School","=""0690111""",317
,,"Killingly High School","=""0696111""",744
,,"Killingly Intermediate School","=""0695211""",692
,,"Killingly Memorial School","=""0690311""",485
"Learn","=""2450014""","LEARN SAILS Program","=""2451614""",14
,,"LEARN Secondary SAILS Program at LTA","=""2451714""","*"
