"Student Counts by School and Year"
"All Districts, All Schools"
"2024-25"

"District","District Code","School","School Code","Count"
,,"Newfield School","=""1350611""",575
,,"Northeast School","=""1351811""",436
,,"Preschool Team","=""1358011""",85
,,"REACH - Cloonan","=""1351711""","*"
,,"REACH - SHS","=""1352311""",11
,,"Reach - Stark","=""1351611""",9
,,"Rippowam Middle School","=""1355811""",704
,,"Rogers International School","=""1350811""",780
,,"Roxbury School","=""1350911""",509
,,"SPS Remote Learning Program (RLP)","=""1352411""",27
,,"STEPS Stamford","=""1352511""",10
,,"Scofield Middle School","=""1355711""",622
,,"Springdale School","=""1351111""",565
,,"Stamford High School","=""1356111""",2102
,,"Stamford Transition Services","=""1350211""",36
,,"Stillmeadow School","=""1352111""",587
,,"Strawberry Hill an ext. of Rogers International","=""1350711""",799
,,"The Academy of Information, Technology & Engineering","=""1356411""",658
,,"The Academy of Information, Technology, & Engineering ARBOR","=""1351511""",14
,,"Toquam Magnet School","=""1351911""",532
,,"Turn of River School","=""1355511""",560
,,"Westhill High School","=""1356311""",2224
,,"Westover School","=""1351411""",624
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",301
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""",429
,,"SAILS","=""1370711""",8
,,"Stonington High School","=""1376111""",543
,,"Stonington Middle School","=""1375211""",366
,,"The Learning Annex","=""1370911""",14
,,"The Transition Annex","=""1370811""",6
,,"West Vine Street School","=""1370611""",342
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",982
,,"Chapel School","=""1380311""",290
,,"David Wooster Middle School","=""1385211""",538
,,"Eli Whitney School","=""1381311""",462
,,"FRANKLIN - ABA - K-6","=""1383011""",16
,,"Franklin School","=""1380411""",246
,,"Harry B. Flood Middle School","=""1385311""",466
,,"High School Sails","=""1380711""",11
,,"Johnson House Elementary School","=""1381511""",537
,,"LORDSHIP - ABA - K-6","=""1382911""",22
,,"Lordship School","=""1380811""",154
,,"Middle School Sails","=""1381811""","*"
,,"Nichols School","=""1380911""",418
,,"PDLC Whitney","=""1382311""",8
,,"SHL - ABA - K-6","=""1380611""",30
,,"STEPS 7-8","=""1381911""","*"
,,"STEPS K-6","=""1382811""",11
,,"STRIVE - Intensive","=""1383111""",9
,,"Second Hill Lane School","=""1381011""",610
,,"Stratford High School","=""1386111""",1150
,,"Strive-Stratford","=""1389011""",24
,,"Victoria Soto Preschool","=""1382211""",217
,,"Wilcoxson School","=""1381411""",318
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""",455
,,"McAlister Intermediate School","=""1390311""",472
,,"Suffield High School","=""1396111""",641
,,"Suffield Middle School","=""1395111""",443
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",281
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",452
"The Woodstock Academy District","=""9030022""","The Woodstock Academy","=""9036122""",1011
,,"The Woodstock Academy STRIVE Transition/Vocational Program","=""9030122""","*"
,,"The Woodstock Academy Therapeutic Academy","=""9030222""",8
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",259
,,"PATHS","=""1400311""",12
,,"Thomaston Center School","=""1400211""",196
,,"Thomaston High School","=""1406211""",307
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",359
,,"Thompson Middle School","=""1415111""",262
,,"Thompson Transition Program","=""1410311""","*"
,,"Tourtellotte Memorial High School","=""1416111""",184
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""",532
,,"Tolland High School","=""1426111""",639
,,"Tolland Intermediate School","=""1420211""",483
,,"Tolland Middle School","=""1425111""",468
,,"Tolland Transition Academy","=""1420611""",6
"Torrington School District","=""1430011""","Forbes School","=""1430211""",309
,,"Integrated PreK","=""1432611""",90
,,"Post Secondary Transition Services","=""1430311""",13
,,"Pre-K SpEd","=""1431611""",17
,,"Southwest School","=""1430811""",289
,,"TPS Preschool Lab","=""1430611""",16
,,"Torringford School","=""1430911""",583
,,"Torrington High School","=""1436111""",1034
,,"Torrington Middle School","=""1435111""",981
,,"Vogel-Wetmore School","=""1431311""",529
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",522
,,"Daniels Farm School","=""1440811""",484
,,"Educating Learners in Transitional Environments (ELITE)","=""1440611""",26
,,"Frenchtown Elementary School","=""1441011""",516
,,"Hillcrest Middle School","=""1445211""",792
,,"Jane Ryan School","=""1440411""",438
,,"Madison Middle School","=""1445111""",857
,,"Middlebrook School","=""1440311""",502
,,"REACH","=""1440511""",17
,,"Tashua School","=""1440911""",394
,,"Trumbull Alternative School","=""1440211""",16
,,"Trumbull Early Childhood Education Center","=""1448011""",201
,,"Trumbull High School","=""1446111""",2152
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""","*"
,,"Cheshire Correctional Institution","=""3360315""","*"
,,"Corrigan Correctional Institution","=""3362415""","*"
,,"Garner Correctional Institution","=""3361915""","*"
,,"Hartford Correctional Center","=""3360615""","*"
,,"MacDougall/Walker Correctional Institution","=""3362215""",7
,,"Manson Youth Institution","=""3361115""",108
,,"New Haven Correctional Center","=""3360915""","*"
,,"Osborn Correctional Institution","=""3361215""","*"
,,"Willard/Cybulski Correctional Institution","=""3361515""","*"
,,"York Correctional Institution","=""3362515""","*"
"Unified School District #2","=""3470015""","Albert J. Solnit Children's Center - North Campus","=""3470115""",18
"Union School District","=""1450011""","Union School","=""1450111""",49
"Vernon School District","=""1460011""","Center Road School","=""1461411""",443
,,"Elementary Activities Based Learning Program","=""1461111""",21
,,"Lake Street School","=""1460111""",235
,,"Maple Street School","=""1460211""",256
,,"Next Step Program","=""1469011""",15
,,"Northeast School","=""1460311""",261
,,"Park Street Learning Center (PSLC)","=""1460611""","*"
,,"Renaissance Program","=""1460811""",8
,,"Rockville High School","=""1466111""",995
,,"Skinner Road School","=""1461011""",340
,,"Vernon Center Middle School","=""1465111""",651
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",216
"Wallingford School District","=""1480011""","Ben Haven ABC Middle School Program","=""1481511""","*"
,,"BenHaven ABC High School Program","=""1481911""",13
,,"Benhaven ABC Intermediate Program","=""1480611""","*"
,,"Cook Hill School","=""1481011""",357
,,"Dag Hammarskjold Middle School","=""1485211""",593
,,"Evarts C. Stevens School","=""1480911""",301
,,"Highland School","=""1480211""",292
,,"Inspire High School","=""1481711""",11
,,"Inspire Middle School","=""1481311""",14
,,"James H. Moran Middle School","=""1485311""",531
,,"Lyman Hall High School","=""1486111""",936
,,"Mark T. Sheehan High School","=""1486211""",673
,,"Mary G. Fritz Elementary School of Yalesville","=""1480811""",265
,,"Moses Y. Beach School","=""1480111""",326
,,"Parker Farms School","=""1480311""",268
,,"Pond Hill School","=""1481211""",267
,,"Rock Hill School","=""1480411""",278
,,"STARS Intermediate Program","=""1481111""",16
,,"STARS Preschool Program","=""1481811""","*"
,,"STARS Primary Program","=""1480711""",20
,,"WISE Intermediate Program","=""1489211""","*"
,,"WISE Primary Program","=""1481611""",6
,,"Wallingford Transition Academy","=""1489111""",13
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""",578
,,"Bucks Hill Autism","=""1514611""",40
,,"Bucks Hill Bilingual","=""1514311""",207
,,"Bucks Hill School","=""1510511""",283
,,"Bunker Hill BDLC","=""1510111""",17
,,"Bunker Hill School","=""1510611""",445
,,"Carrington ESC","=""1511911""",24
,,"Carrington School","=""1512711""",455
,,"Chase Bilingual","=""1514111""",123
,,"Crosby High School","=""1516211""",1453
,,"Driggs School","=""1510911""",410
,,"Duggan School","=""1511611""",429
,,"Enlightenment School","=""1519111""",96
,,"F. J. Kingsbury School","=""1511411""",416
,,"Generali Autism","=""1513511""",40
,,"Gilmartin School","=""1512611""",462
,,"Gilmartin Scope","=""1516911""",32
,,"H. S. Chase School","=""1510711""",543
,,"Hearing Lab","=""1517211""","*"
,,"Hopeville Bilingual","=""1514211""",124
,,"Hopeville School","=""1511311""",291
,,"John F. Kennedy High School","=""1516411""",1391
,,"Maloney Interdistrict Magnet School","=""1513111""",590
,,"Maloney Prek","=""1519811""",42
,,"Margaret M. Generali Elementary School","=""1511111""",415
,,"Michael F. Wallace Middle School","=""1515111""",1059
,,"North End Autism","=""1512911""",20
,,"North End BDLC","=""1513711""",19
,,"North End Bilingual","=""1515711""",61
,,"North End ESC","=""1511811""",14
,,"North End Middle School","=""1515311""",766
,,"North End SCOPE","=""1514811""",14
,,"Reed ESC","=""1512411""",22
,,"Reed School","=""1513411""",439
,,"Regan School","=""1512811""",237
,,"Roberto Clemente International Dual Language School","=""1517311""",275
,,"Rotella Interdistrict Magnet School","=""1513311""",614
,,"Special Education Preschool","=""1518011""",254
,,"Sprague PK","=""1517711""",18
,,"Sprague School","=""1512011""",344
,,"State Street School","=""1519011""",99
,,"Wallace BDLC","=""1514411""",8
,,"Wallace Bilingual","=""1515811""",61
,,"Wallace SCOPE","=""1514911""",11
,,"Walsh SCOPE","=""1517411""",15
,,"Walsh School","=""1512211""",350
,,"Washington School","=""1512311""",284
,,"Waterbury Arts Magnet School","=""1516011""",820
,,"Waterbury Career Academy","=""1516711""",709
,,"Wendell Cross ESC","=""1517611""",13
,,"Wendell L. Cross School","=""1510811""",606
,,"West Side BDLC","=""1514711""",15
,,"West Side Bilingual","=""1515611""",85
,,"West Side Middle School","=""1515211""",848
,,"West Side SCOPE","=""1515511""",13
,,"Wilby Autism","=""1514511""",23
,,"Wilby ESC","=""1511711""",29
,,"Wilby High School","=""1516311""",1196
,,"Woodrow Wilson BDLC","=""1511211""",10
,,"Woodrow Wilson School","=""1513211""",415
"Waterford School District","=""1520011""","Autism Class","=""1521111""",11
,,"Avery Point Transition Program","=""1520311""",9
,,"Clark Lane Middle School","=""1525111""",529
,,"Great Neck Elementary School","=""1520211""",309
,,"Oswegatchie Elementary School","=""1520611""",292
,,"Quaker Hill Elementary School","=""1520711""",331
,,"The Early Childhood Center","=""1520811""",27
,,"The Early Childhood Center II","=""1521011""",30
,,"The Early Childhood Center III","=""1521311""",15
,,"Waterford High School","=""1526111""",713
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""",302
,,"John Trumbull Primary School","=""1530211""",610
,,"Polk School","=""1530411""",303
,,"Swift Middle School","=""1535111""",591
,,"Watertown Alternative Academy","=""1530911""","*"
,,"Watertown High School","=""1536111""",693
,,"Watertown Transition Academy","=""1530811""",11
"West Hartford School District","=""1550011""","Aiken School","=""1551611""",408
,,"Braeburn School","=""1550211""",347
,,"Bristow Middle School","=""1555311""",326
,,"Bugbee School","=""1550411""",343
,,"Charter Oak International Academy","=""1550511""",486
,,"Conard High School","=""1556111""",1380
,,"Duffy School","=""1550611""",489
,,"Hall High School","=""1556211""",1332
,,"King Philip Middle School","=""1555111""",820
,,"Morley School","=""1550911""",301
,,"Norfeldt Learning Center","=""1559411""","*"
,,"Norfeldt School","=""1551011""",362
,,"REACH","=""1557311""",37
,,"Sedgwick Middle School","=""1555211""",874
,,"Smith School","=""1551711""",342
,,"Strive-West Hartford","=""1559211""",33
,,"Webster Hill School","=""1551211""",332
,,"West Hartford Post Secondary Transition Program - Cogswell","=""1559011""",49
,,"Whiting Lane Learning Center","=""1559511""",9
,,"Whiting Lane School","=""1551311""",379
,,"Wolcott Learning Center","=""1559611""","*"
,,"Wolcott School","=""1551511""",354
"West Haven School District","=""1560011""","Alma E. Pagels School","=""1560811""",364
,,"Blended","=""1560711""",83
,,"Carrigan 5/6 Intermediate School","=""1565311""",829
,,"Edith E. Mackrille School","=""1560611""",320
,,"Forest School","=""1560311""",428
,,"Harry M. Bailey Middle School","=""1565111""",885
,,"Life Skills","=""1560111""",10
,,"PACE","=""1560211""",38
,,"Savin Rock Community School","=""1561411""",459
,,"Seth G. Haley School","=""1560411""",332
,,"Washington School","=""1561211""",321
,,"West Haven High School","=""1566111""",1813
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""",292
,,"Westbrook High School","=""1546111""",166
,,"Westbrook Middle School","=""1545111""",126
,,"Westbrook Vocational/Transitional Program","=""1540311""","*"
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""",443
,,"Weston High School","=""1576111""",691
,,"Weston Intermediate School","=""1570211""",478
,,"Weston Middle School","=""1575111""",474
"Westport School District","=""1580011""","Bedford Middle School","=""1585111""",710
,,"Coleytown Elementary School","=""1580311""",461
,,"Coleytown Middle School","=""1585311""",484
,,"GFS Intensive Resource","=""1580211""",12
,,"Green's Farms School","=""1580411""",460
,,"King's Highway Elementary School","=""1580511""",451
,,"LLS Intensive Resource","=""1580111""",12
,,"Long Lots School","=""1580711""",571
,,"Saugatuck Elementary School","=""1580811""",395
,,"Staples High School","=""1586111""",1629
,,"Stepping Stones Preschool","=""1588011""",61
,,"Westport Connections","=""1580911""","*"
"Wethersfield School District","=""1590011""","ABA","=""1590411""",38
,,"Alfred W. Hanmer School","=""1590811""",280
,,"Charles Wright School","=""1591011""",235
,,"Emerson-Williams School","=""1590211""",408
,,"Highcrest School","=""1591111""",429
,,"STRIVE","=""1590311""",9
,,"Samuel B. Webb Elementary School","=""1591211""",342
,,"Silas Deane Middle School","=""1595211""",546
,,"Wethersfield High School","=""1596111""",1146
,,"Wethersfield Transition Academy","=""1590111""",11
"Willington School District","=""1600011""","Center School","=""1600111""",205
,,"Hall Memorial School","=""1605111""",167
"Wilton School District","=""1610011""","Cider Mill School","=""1610711""",831
,,"Community Steps","=""1610311""",17
,,"Genesis","=""1610211""",21
,,"Middlebrook School","=""1615211""",852
,,"Miller-Driscoll School","=""1610511""",845
,,"Wilton High School","=""1616111""",1202
"Winchester School District","=""1620011""","Mary P. Hinsdale School","=""1620211""",263
,,"Pearson School","=""1625111""",318
"Windham School District","=""1630011""","Assisted Work Program","=""1631411""",15
,,"CORE","=""1631511""",28
,,"Charles H. Barrows STEM Academy","=""1630411""",535
,,"Early Headstart","=""1638011""",38
,,"Natchaug Emotional Disturbance Program","=""1630711""",7
,,"Natchaug School","=""1630111""",234
,,"North Windham ASD Program","=""1630811""",7
,,"North Windham School","=""1630311""",445
,,"Sweeney ASD Program","=""1631111""",15
,,"W. B. Sweeney School","=""1630611""",212
,,"Windham Center School","=""1630511""",176
,,"Windham Early Childhood Center","=""1638311""",199
,,"Windham High School","=""1636111""",633
,,"Windham Middle School","=""1635111""",583
"Windsor Locks School District","=""1650011""","North Street School","=""1650111""",396
,,"Pine Meadow Academy","=""1650611""",38
,,"RISE Transition Academy","=""1650211""",16
,,"South Elementary School","=""1650411""",285
,,"Windsor Locks High School","=""1656111""",383
,,"Windsor Locks Middle School","=""1655111""",314
"Windsor School District","=""1640011""","Clover Street School","=""1640111""",276
,,"Community Based Transition Academy","=""1640211""",29
,,"John F. Kennedy School","=""1640811""",412
,,"Oliver Ellsworth School","=""1640911""",378
,,"Poquonock Elementary School","=""1640511""",328
,,"Sage Park Middle School","=""1645311""",719
,,"Windsor High School","=""1646111""",1095
"Wolcott School District","=""1660011""","ABC Classroom","=""1660311""",9
,,"Alcott School","=""1660611""",320
,,"Compass","=""1660711""",9
,,"Frisbie School","=""1660211""",265
,,"Phoenix Program","=""1660411""",6
,,"Tyrrell Middle School","=""1665111""",498
,,"Wakelee School","=""1660511""",366
,,"Wolcott High School","=""1666111""",611
"Woodbridge School District","=""1670011""","Beecher Road School","=""1670311""",862
"Woodstock School District","=""1690011""","Woodstock Elementary School","=""1690211""",391
,,"Woodstock Middle School","=""1695111""",360

