"Student Counts by District and Free/Reduced Lunch Eligibility"
"All Districts"
"2024-25"

"",,"Free/Reduced Lunch Eligibility",,,
"District","District Code","Free","Non-Subsidized","Reduced","Total"
"Weston School District","=""1570011""",29,2061,11,2101
"Westport School District","=""1580011""",116,5133,32,5281
"Wethersfield School District","=""1590011""",752,2553,166,3471
"Willington School District","=""1600011""",109,242,25,376
"Wilton School District","=""1610011""",216,3566,0,3782
"Winchester School District","=""1620011""",302,249,48,599
"Windham School District","=""1630011""",2093,862,198,3153
"Windsor Locks School District","=""1650011""",606,743,99,1448
"Windsor School District","=""1640011""",1329,1628,309,3266
"Wolcott School District","=""1660011""",553,1365,182,2100
"Woodbridge School District","=""1670011""",89,753,20,862
"Woodstock School District","=""1690011""",140,570,46,756
"Total","=""""",197031,280438,30933,508402

