"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades, All Students"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Grade","Subject","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Average VSS"
"Achievement First Bridgeport Academy District","=""2850013""","03","ELA",92,91,98.9,91,45,49.5,20,22.0,17,18.7,9,9.9,26,28.6,2374
,,,"Math",92,91,98.9,91,30,33.0,21,23.1,26,28.6,14,15.4,40,44.0,2417
,,"04","ELA",88,88,100.0,88,33,37.5,22,25.0,21,23.9,12,13.6,33,37.5,2448
,,,"Math",88,87,98.9,87,32,36.8,29,33.3,18,20.7,8,9.2,26,29.9,2447
,,"05","ELA",87,86,98.9,86,52,60.5,"*","*",17,19.8,"*","*","*","*",2425
,,,"Math",87,86,98.9,86,71,82.6,9,10.5,"*","*","*","*",6,7.0,2399
,,"06","ELA",87,87,100.0,87,29,33.3,"*","*",30,34.5,"*","*","*","*",2501
,,,"Math",86,86,100.0,86,38,44.2,31,36.0,11,12.8,6,7.0,17,19.8,2470
,,"07","ELA",86,86,100.0,86,21,24.4,30,34.9,26,30.2,9,10.5,35,40.7,2539
,,,"Math",86,85,98.8,85,51,60.0,24,28.2,"*","*","*","*",10,11.8,2457
,,"08","ELA",89,89,100.0,89,17,19.1,26,29.2,36,40.4,10,11.2,46,51.7,2564
,,,"Math",89,87,97.8,86,51,59.3,19,22.1,"*","*","*","*",16,18.6,2480
"Achievement First Hartford Academy District","=""2880013""","03","ELA",67,67,100.0,67,16,23.9,23,34.3,14,20.9,14,20.9,28,41.8,2420
,,,"Math",67,66,98.5,66,22,33.3,16,24.2,20,30.3,8,12.1,28,42.4,2416
,,"04","ELA",63,63,100.0,63,17,27.0,11,17.5,12,19.0,23,36.5,35,55.6,2483
,,,"Math",63,63,100.0,63,19,30.2,15,23.8,18,28.6,11,17.5,29,46.0,2466
,,"05","ELA",72,70,97.2,70,30,42.9,16,22.9,14,20.0,10,14.3,24,34.3,2471
,,,"Math",72,70,97.2,69,42,60.9,16,23.2,"*","*","*","*",11,15.9,2453
,,"06","ELA",91,91,100.0,91,30,33.0,"*","*",27,29.7,"*","*","*","*",2491
,,,"Math",91,90,98.9,89,43,48.3,30,33.7,"*","*","*","*",16,18.0,2463
,,"07","ELA",72,70,97.2,70,31,44.3,"*","*",17,24.3,"*","*","*","*",2505
,,,"Math",72,70,97.2,70,36,51.4,21,30.0,"*","*","*","*",13,18.6,2479
,,"08","ELA",75,75,100.0,75,20,26.7,22,29.3,24,32.0,9,12.0,33,44.0,2551
,,,"Math",75,75,100.0,75,36,48.0,18,24.0,12,16.0,9,12.0,21,28.0,2512
"Amistad Academy District","=""2790013""","03","ELA",94,94,100.0,94,53,56.4,22,23.4,"*","*","*","*",19,20.2,2359
,,,"Math",94,93,98.9,93,41,44.1,26,28.0,16,17.2,10,10.8,26,28.0,2392
,,"04","ELA",93,93,100.0,93,52,55.9,11,11.8,14,15.1,16,17.2,30,32.3,2412
,,,"Math",93,92,98.9,92,44,47.8,21,22.8,"*","*","*","*",27,29.3,2424
,,"05","ELA",90,90,100.0,90,33,36.7,"*","*",26,28.9,"*","*","*","*",2468
,,,"Math",90,90,100.0,90,28,31.1,34,37.8,18,20.0,10,11.1,28,31.1,2488
,,"06","ELA",91,91,100.0,91,31,34.1,20,22.0,27,29.7,13,14.3,40,44.0,2511
,,,"Math",91,91,100.0,91,27,29.7,29,31.9,25,27.5,10,11.0,35,38.5,2513
,,"07","ELA",84,84,100.0,84,28,33.3,25,29.8,22,26.2,9,10.7,31,36.9,2516
,,,"Math",84,83,98.8,83,50,60.2,22,26.5,"*","*","*","*",11,13.3,2466
,,"08","ELA",86,86,100.0,86,24,27.9,21,24.4,25,29.1,16,18.6,41,47.7,2556
,,,"Math",86,86,100.0,86,40,46.5,22,25.6,14,16.3,10,11.6,24,27.9,2515
"Andover School District","=""0010011""","03","ELA",35,34,97.1,34,"*","*","*","*",14,41.2,9,26.5,23,67.6,2444
,,,"Math",35,34,97.1,34,"*","*",10,29.4,11,32.4,"*","*","*","*",2450
,,"04","ELA",26,26,100.0,26,"*","*","*","*",7,26.9,8,30.8,15,57.7,2482
,,,"Math",26,26,100.0,26,"*","*",7,26.9,9,34.6,"*","*","*","*",2489
,,"05","ELA",27,27,100.0,27,"*","*","*","*",11,40.7,9,33.3,20,74.1,2543
,,,"Math",27,27,100.0,27,"*","*",13,48.1,"*","*","*","*","*","*",2530
,,"06","ELA",21,21,100.0,21,"*","*",8,38.1,"*","*",6,28.6,"*","*",2565
,,,"Math",22,22,100.0,22,"*","*",7,31.8,"*","*",8,36.4,"*","*",2566
"Ansonia School District","=""0020011""","03","ELA",180,180,100.0,178,87,48.9,50,28.1,"*","*","*","*",41,23.0,2370
,,,"Math",180,180,100.0,179,79,44.1,48,26.8,37,20.7,15,8.4,52,29.1,2392
,,"04","ELA",191,191,100.0,190,86,45.3,41,21.6,40,21.1,23,12.1,63,33.2,2431
,,,"Math",192,191,99.5,191,65,34.0,61,31.9,37,19.4,28,14.7,65,34.0,2452
,,"05","ELA",192,190,99.0,190,92,48.4,36,18.9,42,22.1,20,10.5,62,32.6,2453
,,,"Math",192,190,99.0,190,90,47.4,47,24.7,29,15.3,24,12.6,53,27.9,2460
,,"06","ELA",175,172,98.3,172,85,49.4,48,27.9,26,15.1,13,7.6,39,22.7,2467
,,,"Math",175,172,98.3,172,98,57.0,44,25.6,18,10.5,12,7.0,30,17.4,2455
,,"07","ELA",187,184,98.4,184,95,51.6,46,25.0,"*","*","*","*",43,23.4,2475
,,,"Math",187,183,97.9,183,121,66.1,39,21.3,"*","*","*","*",23,12.6,2457
,,"08","ELA",214,212,99.1,212,114,53.8,52,24.5,36,17.0,10,4.7,46,21.7,2486
,,,"Math",214,212,99.1,212,152,71.7,33,15.6,"*","*","*","*",27,12.7,2456
"Area Cooperative Educational Services","=""2440014""","03","ELA",76,74,97.4,74,49,66.2,"*","*",13,17.6,"*","*","*","*",2341
,,,"Math",76,74,97.4,74,50,67.6,"*","*",11,14.9,"*","*","*","*",2332
,,"04","ELA",76,72,94.7,72,43,59.7,13,18.1,"*","*","*","*",16,22.2,2398
,,,"Math",76,72,94.7,72,49,68.1,13,18.1,"*","*","*","*",10,13.9,2381
,,"05","ELA",83,81,97.6,80,55,68.8,11,13.8,"*","*","*","*",14,17.5,2397
,,,"Math",83,80,96.4,80,62,77.5,12,15.0,"*","*","*","*",6,7.5,2393
,,"06","ELA",220,218,99.1,218,95,43.6,65,29.8,42,19.3,16,7.3,58,26.6,2474
,,,"Math",220,215,97.7,215,121,56.3,58,27.0,24,11.2,12,5.6,36,16.7,2449
,,"07","ELA",202,198,98.0,197,69,35.0,50,25.4,59,29.9,19,9.6,78,39.6,2512
,,,"Math",202,196,97.0,196,79,40.3,45,23.0,35,17.9,37,18.9,72,36.7,2514
,,"08","ELA",257,254,98.8,254,88,34.6,71,28.0,72,28.3,23,9.1,95,37.4,2531
,,,"Math",257,251,97.7,250,125,50.0,59,23.6,36,14.4,30,12.0,66,26.4,2510
"Ashford School District","=""0030011""","03","ELA",32,32,100.0,32,9,28.1,14,43.8,"*","*","*","*",9,28.1,2399
,,,"Math",32,32,100.0,32,"*","*",14,43.8,13,40.6,"*","*","*","*",2430
,,"04","ELA",34,34,100.0,34,10,29.4,"*","*",11,32.4,"*","*","*","*",2476
,,,"Math",34,34,100.0,34,"*","*",11,32.4,11,32.4,"*","*","*","*",2481
,,"05","ELA",37,37,100.0,37,"*","*","*","*",13,35.1,9,24.3,22,59.5,2516
,,,"Math",37,37,100.0,37,7,18.9,9,24.3,9,24.3,12,32.4,21,56.8,2536
,,"06","ELA",46,44,95.7,44,11,25.0,8,18.2,13,29.5,12,27.3,25,56.8,2538
,,,"Math",46,44,95.7,44,12,27.3,13,29.5,8,18.2,11,25.0,19,43.2,2523
,,"07","ELA",44,44,100.0,44,11,25.0,11,25.0,12,27.3,10,22.7,22,50.0,2558
,,,"Math",44,44,100.0,44,18,40.9,7,15.9,6,13.6,13,29.5,19,43.2,2554
,,"08","ELA",35,35,100.0,35,"*","*","*","*",15,42.9,9,25.7,24,68.6,2596
,,,"Math",35,35,100.0,35,"*","*","*","*",12,34.3,12,34.3,24,68.6,2619
"Avon School District","=""0040011""","03","ELA",228,227,99.6,227,26,11.5,54,23.8,66,29.1,81,35.7,147,64.8,2459
,,,"Math",227,226,99.6,226,34,15.0,37,16.4,80,35.4,75,33.2,155,68.6,2466
,,"04","ELA",236,235,99.6,235,40,17.0,37,15.7,62,26.4,96,40.9,158,67.2,2505
,,,"Math",236,235,99.6,235,29,12.3,58,24.7,70,29.8,78,33.2,148,63.0,2509
,,"05","ELA",253,252,99.6,252,26,10.3,37,14.7,78,31.0,111,44.0,189,75.0,2562
,,,"Math",250,247,98.8,247,34,13.8,45,18.2,48,19.4,120,48.6,168,68.0,2563
,,"06","ELA",236,235,99.6,235,25,10.6,46,19.6,88,37.4,76,32.3,164,69.8,2573
,,,"Math",236,233,98.7,233,27,11.6,41,17.6,68,29.2,97,41.6,165,70.8,2590
,,"07","ELA",200,200,100.0,200,20,10.0,29,14.5,85,42.5,66,33.0,151,75.5,2603
,,,"Math",200,200,100.0,200,24,12.0,47,23.5,37,18.5,92,46.0,129,64.5,2614
,,"08","ELA",251,251,100.0,251,21,8.4,37,14.7,96,38.2,97,38.6,193,76.9,2631
,,,"Math",251,250,99.6,250,31,12.4,39,15.6,51,20.4,129,51.6,180,72.0,2639
"Barkhamsted School District","=""0050011""","03","ELA",34,34,100.0,34,9,26.5,13,38.2,"*","*","*","*",12,35.3,2414
,,,"Math",34,34,100.0,34,13,38.2,9,26.5,"*","*","*","*",12,35.3,2413
,,"04","ELA",35,35,100.0,35,9,25.7,8,22.9,11,31.4,7,20.0,18,51.4,2472
,,,"Math",35,35,100.0,35,"*","*",10,28.6,13,37.1,"*","*","*","*",2490
,,"05","ELA",30,30,100.0,30,"*","*",6,20.0,"*","*",9,30.0,"*","*",2537
,,,"Math",30,30,100.0,30,6,20.0,9,30.0,6,20.0,9,30.0,15,50.0,2531
,,"06","ELA",28,28,100.0,28,"*","*","*","*",10,35.7,7,25.0,17,60.7,2548
,,,"Math",28,28,100.0,28,"*","*",8,28.6,"*","*",12,42.9,"*","*",2571
"Berlin School District","=""0070011""","03","ELA",200,197,98.5,197,33,16.8,43,21.8,52,26.4,69,35.0,121,61.4,2456
,,,"Math",200,197,98.5,197,27,13.7,41,20.8,51,25.9,78,39.6,129,65.5,2472
,,"04","ELA",191,187,97.9,186,34,18.3,48,25.8,45,24.2,59,31.7,104,55.9,2492
,,,"Math",191,186,97.4,185,22,11.9,54,29.2,57,30.8,52,28.1,109,58.9,2503
,,"05","ELA",186,185,99.5,185,23,12.4,41,22.2,64,34.6,57,30.8,121,65.4,2539
,,,"Math",186,184,98.9,184,21,11.4,56,30.4,37,20.1,70,38.0,107,58.2,2545
,,"06","ELA",198,194,98.0,194,37,19.1,41,21.1,78,40.2,38,19.6,116,59.8,2541
,,,"Math",198,192,97.0,192,34,17.7,50,26.0,56,29.2,52,27.1,108,56.3,2549
,,"07","ELA",202,199,98.5,199,22,11.1,45,22.6,93,46.7,39,19.6,132,66.3,2583
,,,"Math",202,198,98.0,198,31,15.7,39,19.7,53,26.8,75,37.9,128,64.6,2595
,,"08","ELA",195,192,98.5,192,39,20.3,31,16.1,85,44.3,37,19.3,122,63.5,2583
,,,"Math",195,191,97.9,191,50,26.2,41,21.5,47,24.6,53,27.7,100,52.4,2579
"Bethany School District","=""0080011""","03","ELA",61,61,100.0,61,9,14.8,18,29.5,20,32.8,14,23.0,34,55.7,2447
,,,"Math",61,61,100.0,61,12,19.7,11,18.0,17,27.9,21,34.4,38,62.3,2454
,,"04","ELA",57,55,96.5,55,"*","*","*","*",15,27.3,27,49.1,42,76.4,2524
,,,"Math",57,55,96.5,55,"*","*","*","*",20,36.4,22,40.0,42,76.4,2523
,,"05","ELA",77,77,100.0,77,"*","*","*","*",20,26.0,44,57.1,64,83.1,2586
,,,"Math",77,77,100.0,77,12,15.6,21,27.3,16,20.8,28,36.4,44,57.1,2542
,,"06","ELA",60,58,96.7,58,"*","*","*","*",17,29.3,28,48.3,45,77.6,2610
,,,"Math",60,58,96.7,58,"*","*","*","*",20,34.5,27,46.6,47,81.0,2614
"Bethel School District","=""0090011""","03","ELA",193,191,99.0,191,36,18.8,47,24.6,41,21.5,67,35.1,108,56.5,2446
,,,"Math",193,191,99.0,191,29,15.2,46,24.1,60,31.4,56,29.3,116,60.7,2460
,,"04","ELA",218,218,100.0,218,43,19.7,49,22.5,52,23.9,74,33.9,126,57.8,2485
,,,"Math",218,218,100.0,218,39,17.9,43,19.7,66,30.3,70,32.1,136,62.4,2500
,,"05","ELA",245,244,99.6,244,43,17.6,38,15.6,82,33.6,81,33.2,163,66.8,2537
,,,"Math",245,242,98.8,242,48,19.8,56,23.1,42,17.4,96,39.7,138,57.0,2540
,,"06","ELA",239,236,98.7,236,46,19.5,43,18.2,92,39.0,55,23.3,147,62.3,2544
,,,"Math",239,236,98.7,236,46,19.5,54,22.9,53,22.5,83,35.2,136,57.6,2556
,,"07","ELA",267,265,99.3,265,54,20.4,63,23.8,89,33.6,59,22.3,148,55.8,2564
,,,"Math",267,263,98.5,263,53,20.2,48,18.3,68,25.9,94,35.7,162,61.6,2584
,,"08","ELA",259,255,98.5,255,37,14.5,62,24.3,101,39.6,55,21.6,156,61.2,2590
,,,"Math",259,254,98.1,254,39,15.4,54,21.3,55,21.7,106,41.7,161,63.4,2620
"Bloomfield School District","=""0110011""","03","ELA",104,104,100.0,104,33,31.7,27,26.0,20,19.2,24,23.1,44,42.3,2411
,,,"Math",104,104,100.0,104,40,38.5,20,19.2,32,30.8,12,11.5,44,42.3,2412
,,"04","ELA",85,84,98.8,84,44,52.4,13,15.5,15,17.9,12,14.3,27,32.1,2429
,,,"Math",85,84,98.8,84,27,32.1,30,35.7,18,21.4,9,10.7,27,32.1,2450
,,"05","ELA",104,103,99.0,103,43,41.7,23,22.3,19,18.4,18,17.5,37,35.9,2467
,,,"Math",104,103,99.0,103,48,46.6,27,26.2,12,11.7,16,15.5,28,27.2,2471
,,"06","ELA",133,133,100.0,133,46,34.6,42,31.6,34,25.6,11,8.3,45,33.8,2489
,,,"Math",133,133,100.0,133,65,48.9,42,31.6,17,12.8,9,6.8,26,19.5,2463
,,"07","ELA",124,124,100.0,124,42,33.9,"*","*",40,32.3,"*","*","*","*",2512
,,,"Math",124,124,100.0,124,67,54.0,29,23.4,18,14.5,10,8.1,28,22.6,2482
,,"08","ELA",128,125,97.7,125,41,32.8,44,35.2,"*","*","*","*",40,32.0,2525
,,,"Math",128,125,97.7,125,67,53.6,25,20.0,19,15.2,14,11.2,33,26.4,2505
"Bolton School District","=""0120011""","03","ELA",47,46,97.9,46,7,15.2,11,23.9,11,23.9,17,37.0,28,60.9,2455
,,,"Math",47,45,95.7,45,"*","*",11,24.4,"*","*",27,60.0,"*","*",2504
,,"04","ELA",52,52,100.0,52,12,23.1,10,19.2,8,15.4,22,42.3,30,57.7,2502
,,,"Math",52,52,100.0,52,"*","*","*","*",13,25.0,22,42.3,35,67.3,2520
,,"05","ELA",47,44,93.6,44,"*","*","*","*",17,38.6,19,43.2,36,81.8,2565
,,,"Math",46,42,91.3,42,"*","*","*","*",10,23.8,23,54.8,33,78.6,2576
,,"06","ELA",55,52,94.5,52,7,13.5,16,30.8,20,38.5,9,17.3,29,55.8,2539
,,,"Math",55,52,94.5,52,15,28.8,12,23.1,10,19.2,15,28.8,25,48.1,2537
,,"07","ELA",48,44,91.7,44,"*","*","*","*",14,31.8,14,31.8,28,63.6,2584
,,,"Math",47,43,91.5,43,"*","*","*","*",12,27.9,16,37.2,28,65.1,2590
,,"08","ELA",54,51,94.4,51,6,11.8,10,19.6,23,45.1,12,23.5,35,68.6,2604
,,,"Math",54,51,94.4,51,10,19.6,8,15.7,13,25.5,20,39.2,33,64.7,2603
"Booker T. Washington Academy District","=""2950013""","03","ELA",43,43,100.0,43,20,46.5,13,30.2,"*","*","*","*",10,23.3,2372
,,,"Math",43,43,100.0,43,19,44.2,14,32.6,"*","*","*","*",10,23.3,2389
,,"04","ELA",43,43,100.0,43,17,39.5,"*","*",12,27.9,"*","*","*","*",2439
,,,"Math",43,42,97.7,42,15,35.7,13,31.0,"*","*","*","*",14,33.3,2446
,,"05","ELA",39,39,100.0,39,19,48.7,8,20.5,"*","*","*","*",12,30.8,2445
,,,"Math",39,39,100.0,39,22,56.4,"*","*",8,20.5,"*","*","*","*",2447
,,"06","ELA",46,45,97.8,44,"*","*",14,31.8,18,40.9,"*","*","*","*",2520
,,,"Math",46,44,95.7,44,9,20.5,8,18.2,18,40.9,9,20.5,27,61.4,2541
,,"07","ELA",38,38,100.0,38,14,36.8,13,34.2,"*","*","*","*",11,28.9,2498
,,,"Math",38,38,100.0,38,23,60.5,10,26.3,"*","*","*","*","*","*",2463
,,"08","ELA",47,47,100.0,47,16,34.0,"*","*",17,36.2,"*","*","*","*",2523
,,,"Math",47,47,100.0,47,23,48.9,14,29.8,"*","*","*","*",10,21.3,2499
"Bozrah School District","=""0130011""","03","ELA",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
,,"04","ELA",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
,,"05","ELA",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
,,"06","ELA",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
,,"07","ELA",21,21,100.0,21,"*","*",7,33.3,9,42.9,"*","*","*","*",2566
,,,"Math",21,21,100.0,21,"*","*","*","*",6,28.6,7,33.3,13,61.9,2587
,,"08","ELA",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","03","ELA",186,186,100.0,186,40,21.5,44,23.7,43,23.1,59,31.7,102,54.8,2440
,,,"Math",186,186,100.0,186,33,17.7,41,22.0,54,29.0,58,31.2,112,60.2,2458
,,"04","ELA",180,180,100.0,179,22,12.3,40,22.3,39,21.8,78,43.6,117,65.4,2511
,,,"Math",180,180,100.0,179,23,12.8,53,29.6,52,29.1,51,28.5,103,57.5,2501
,,"05","ELA",181,181,100.0,181,29,16.0,42,23.2,55,30.4,55,30.4,110,60.8,2524
,,,"Math",181,181,100.0,181,38,21.0,53,29.3,46,25.4,44,24.3,90,49.7,2520
,,"06","ELA",211,207,98.1,207,32,15.5,66,31.9,67,32.4,42,20.3,109,52.7,2537
,,,"Math",211,207,98.1,206,37,18.0,59,28.6,46,22.3,64,31.1,110,53.4,2550
,,"07","ELA",175,173,98.9,173,36,20.8,43,24.9,64,37.0,30,17.3,94,54.3,2557
,,,"Math",175,173,98.9,172,37,21.5,57,33.1,39,22.7,39,22.7,78,45.3,2554
,,"08","ELA",198,195,98.5,195,42,21.5,53,27.2,69,35.4,31,15.9,100,51.3,2567
,,,"Math",198,193,97.5,193,62,32.1,53,27.5,33,17.1,45,23.3,78,40.4,2557
"Brass City Charter School District","=""2900013""","03","ELA",41,41,100.0,41,6,14.6,13,31.7,10,24.4,12,29.3,22,53.7,2448
,,,"Math",41,41,100.0,41,"*","*","*","*",13,31.7,13,31.7,26,63.4,2464
,,"04","ELA",42,42,100.0,42,7,16.7,10,23.8,16,38.1,9,21.4,25,59.5,2481
,,,"Math",42,42,100.0,42,"*","*",15,35.7,"*","*",12,28.6,"*","*",2491
,,"05","ELA",43,43,100.0,43,20,46.5,"*","*",10,23.3,"*","*","*","*",2457
,,,"Math",43,43,100.0,43,23,53.5,11,25.6,"*","*","*","*",9,20.9,2454
,,"06","ELA",40,40,100.0,40,13,32.5,16,40.0,"*","*","*","*",11,27.5,2491
,,,"Math",40,40,100.0,40,21,52.5,11,27.5,"*","*","*","*",8,20.0,2475
,,"07","ELA",41,41,100.0,41,"*","*",16,39.0,12,29.3,"*","*","*","*",2526
,,,"Math",42,42,100.0,42,23,54.8,12,28.6,"*","*","*","*",7,16.7,2480
,,"08","ELA",35,35,100.0,35,"*","*",9,25.7,14,40.0,"*","*","*","*",2567
,,,"Math",35,35,100.0,35,19,54.3,10,28.6,"*","*","*","*",6,17.1,2502
"Bridgeport School District","=""0150011""","03","ELA",1508,1501,99.5,1501,954,63.6,300,20.0,153,10.2,94,6.3,247,16.5,2345
,,,"Math",1505,1497,99.5,1497,872,58.2,357,23.8,208,13.9,60,4.0,268,17.9,2366
,,"04","ELA",1383,1376,99.5,1376,928,67.4,204,14.8,153,11.1,91,6.6,244,17.7,2380
,,,"Math",1381,1365,98.8,1364,781,57.3,397,29.1,135,9.9,51,3.7,186,13.6,2398
,,"05","ELA",1431,1424,99.5,1424,909,63.8,248,17.4,197,13.8,70,4.9,267,18.8,2411
,,,"Math",1431,1414,98.8,1414,925,65.4,334,23.6,105,7.4,50,3.5,155,11.0,2427
,,"06","ELA",1445,1435,99.3,1435,806,56.2,322,22.4,253,17.6,54,3.8,307,21.4,2446
,,,"Math",1444,1425,98.7,1425,838,58.8,370,26.0,158,11.1,59,4.1,217,15.2,2444
,,"07","ELA",1420,1399,98.5,1399,706,50.5,332,23.7,296,21.2,65,4.6,361,25.8,2475
,,,"Math",1421,1394,98.1,1393,855,61.4,281,20.2,162,11.6,95,6.8,257,18.4,2465
,,"08","ELA",1461,1446,99.0,1446,760,52.6,313,21.6,318,22.0,55,3.8,373,25.8,2483
,,,"Math",1461,1438,98.4,1438,928,64.5,255,17.7,139,9.7,116,8.1,255,17.7,2467
"Bristol School District","=""0170011""","03","ELA",602,600,99.7,600,182,30.3,128,21.3,151,25.2,139,23.2,290,48.3,2419
,,,"Math",600,598,99.7,598,185,30.9,138,23.1,153,25.6,122,20.4,275,46.0,2422
,,"04","ELA",513,506,98.6,506,137,27.1,108,21.3,128,25.3,133,26.3,261,51.6,2470
,,,"Math",512,505,98.6,505,137,27.1,142,28.1,118,23.4,108,21.4,226,44.8,2473
,,"05","ELA",620,615,99.2,615,194,31.5,139,22.6,164,26.7,118,19.2,282,45.9,2489
,,,"Math",620,612,98.7,612,214,35.0,166,27.1,124,20.3,108,17.6,232,37.9,2494
,,"06","ELA",550,543,98.7,543,145,26.7,137,25.2,178,32.8,83,15.3,261,48.1,2519
,,,"Math",550,542,98.5,542,171,31.5,150,27.7,106,19.6,115,21.2,221,40.8,2515
,,"07","ELA",589,579,98.3,579,138,23.8,159,27.5,199,34.4,83,14.3,282,48.7,2544
,,,"Math",589,576,97.8,576,207,35.9,150,26.0,114,19.8,105,18.2,219,38.0,2528
,,"08","ELA",588,576,98.0,576,153,26.6,151,26.2,200,34.7,72,12.5,272,47.2,2553
,,,"Math",588,575,97.8,575,214,37.2,137,23.8,105,18.3,119,20.7,224,39.0,2549
"Brookfield School District","=""0180011""","03","ELA",202,195,96.5,195,51,26.2,50,25.6,52,26.7,42,21.5,94,48.2,2422
,,,"Math",202,195,96.5,195,48,24.6,50,25.6,61,31.3,36,18.5,97,49.7,2435
,,"04","ELA",181,177,97.8,177,26,14.7,32,18.1,52,29.4,67,37.9,119,67.2,2502
,,,"Math",181,175,96.7,175,17,9.7,51,29.1,68,38.9,39,22.3,107,61.1,2498
,,"05","ELA",193,188,97.4,188,30,16.0,30,16.0,65,34.6,63,33.5,128,68.1,2536
,,,"Math",193,188,97.4,188,43,22.9,67,35.6,44,23.4,34,18.1,78,41.5,2508
,,"06","ELA",196,195,99.5,195,22,11.3,41,21.0,69,35.4,63,32.3,132,67.7,2569
,,,"Math",196,195,99.5,195,33,16.9,35,17.9,39,20.0,88,45.1,127,65.1,2580
,,"07","ELA",192,191,99.5,191,16,8.4,40,20.9,87,45.5,48,25.1,135,70.7,2591
,,,"Math",192,191,99.5,191,25,13.1,43,22.5,61,31.9,62,32.5,123,64.4,2595
,,"08","ELA",204,197,96.6,197,33,16.8,62,31.5,72,36.5,30,15.2,102,51.8,2570
,,,"Math",204,198,97.1,198,47,23.7,63,31.8,45,22.7,43,21.7,88,44.4,2575
"Brooklyn School District","=""0190011""","03","ELA",84,84,100.0,84,23,27.4,28,33.3,12,14.3,21,25.0,33,39.3,2423
,,,"Math",84,83,98.8,83,19,22.9,15,18.1,31,37.3,18,21.7,49,59.0,2447
,,"04","ELA",93,93,100.0,93,21,22.6,25,26.9,21,22.6,26,28.0,47,50.5,2478
,,,"Math",93,92,98.9,92,14,15.2,20,21.7,38,41.3,20,21.7,58,63.0,2495
,,"05","ELA",103,103,100.0,103,24,23.3,30,29.1,32,31.1,17,16.5,49,47.6,2501
,,,"Math",103,103,100.0,103,29,28.2,32,31.1,24,23.3,18,17.5,42,40.8,2499
,,"06","ELA",93,93,100.0,93,15,16.1,32,34.4,28,30.1,18,19.4,46,49.5,2540
,,,"Math",93,93,100.0,93,19,20.4,27,29.0,27,29.0,20,21.5,47,50.5,2544
,,"07","ELA",89,89,100.0,89,13,14.6,22,24.7,29,32.6,25,28.1,54,60.7,2577
,,,"Math",89,88,98.9,88,23,26.1,16,18.2,28,31.8,21,23.9,49,55.7,2564
,,"08","ELA",82,82,100.0,82,18,22.0,27,32.9,31,37.8,6,7.3,37,45.1,2552
,,,"Math",82,81,98.8,81,27,33.3,22,27.2,19,23.5,13,16.0,32,39.5,2551
"Canaan School District","=""0210011""","03","ELA",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
,,"04","ELA",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
,,"05","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"06","ELA",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
,,"07","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"08","ELA",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
,,,"Math",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","03","ELA",51,50,98.0,50,14,28.0,12,24.0,13,26.0,11,22.0,24,48.0,2425
,,,"Math",51,50,98.0,50,"*","*","*","*",18,36.0,21,42.0,39,78.0,2484
,,"04","ELA",48,48,100.0,48,15,31.3,11,22.9,13,27.1,9,18.8,22,45.8,2459
,,,"Math",48,48,100.0,48,9,18.8,15,31.3,12,25.0,12,25.0,24,50.0,2489
,,"05","ELA",47,45,95.7,45,"*","*",17,37.8,16,35.6,"*","*","*","*",2500
,,,"Math",47,45,95.7,45,"*","*",20,44.4,13,28.9,"*","*","*","*",2509
,,"06","ELA",56,55,98.2,55,"*","*",17,30.9,23,41.8,"*","*","*","*",2529
,,,"Math",56,55,98.2,55,10,18.2,14,25.5,13,23.6,18,32.7,31,56.4,2555
,,"07","ELA",51,51,100.0,51,"*","*",12,23.5,25,49.0,"*","*","*","*",2558
