nces_id,nces_name,district_code,district
457,Rivendell Interstate School District,453,Raymond
724,River View Chartered Public School,457,Rivendell
737,Robert Frost Charter School,724,River View Chartered Public School
461,Rochester School District,737,Robert Frost Charter School
463,Rollinsford School District,461,Rochester
467,Rumney School District,463,Rollinsford
471,Rye School District,467,Rumney
473,Salem School District,471,Rye
476,Sanborn Regional School District,473,Salem
485,Seabrook School District,476,Sanborn Regional
705,Seacoast Charter School,485,Seabrook
486,Shaker Regional School District,705,Seacoast Charter School
491,Somersworth School District,486,Shaker Regional
493,Souhegan Cooperative School District,491,Somersworth
495,South Hampton School District,493,Souhegan Cooperative
714,Spark Academy of Advanced Technologies,495,South Hampton
499,Stark School District,714,Spark Academy of Advanced Technologies
501,Stewartstown School District,499,Stark
503,Stoddard School District,501,Stewartstown
507,Strafford School District,503,Stoddard
509,Stratford School District,507,Strafford
511,Stratham School District,509,Stratford
721,Strong Foundations Charter School,511,Stratham
515,Sunapee School District,721,Strong Foundations Charter School
717,Surry Village Charter School,515,Sunapee
525,Tamworth School District,717,Surry Village Charter School
731,The Birches Academy of Academics & Art A Public Charter Sch,525,Tamworth
741,The Founders Academy Charter School,731,The Birches Academy of Academics & Art A Public Charter Sch
531,Thornton School District,741,The Founders Academy Charter School
534,Timberlane Regional School District,531,Thornton
539,Unity School District,534,Timberlane Regional
727,Virtual Learning Academy Charter School,539,Unity
543,Wakefield School District,727,Virtual Learning Academy Charter School
549,Warren School District,543,Wakefield
551,Washington School District,549,Warren
553,Waterville Valley School District,551,Washington
555,Weare School District,553,Waterville Valley
559,Wentworth School District,555,Weare
563,Westmoreland School District,559,Wentworth
568,White Mountains Regional School District,563,Westmoreland
572,Wilton-Lyndeborough Cooperative School District,568,White Mountains Regional
573,Winchester School District,572,Wilton-Lyndeborough Cooperative
712,Windham Academy Public Charter School,573,Winchester
575,Windham School District,575,Windham
581,Winnacunnet Cooperative School District,712,Windham Academy Public Charter School
582,Winnisquam Regional School District,581,Winnacunnet Cooperative
388,,582,Winnisquam Regional
