Report ID : 4,,,,,,,,,,
Type of Data: Final,,,,,,,,,,
Report Date: 12/2/2024,,,,,,,,,,
Run Date: 10/1/2025,,,,,,,,,,
,,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
25 Hall Street, Concord, NH 03301",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024 - 2025 District Fall Enrollments,,,,,,,,,,
"As of October 1, 2024",,,,,,,,,,
,,,,,,,,,,
SAU #,SAU Name,District #,District Name,PreSchool,Kindergarten,Elementary,Middle,High,PG,Total 
417,The Birches Academy of Academics & Art A Public Charter Sch,731,The Birches Academy of Academics & Art A Public Charter Sch,0,36,250,0,0,0,286
423,The Founders Academy Charter School,741,The Founders Academy Charter School,0,0,279,0,152,0,431
412,Virtual Learning Academy Charter School,727,Virtual Learning Academy Charter School,0,2,122,0,386,0,510
434,Windham Academy Public Charter School,712,Windham Academy Public Charter School,0,62,348,0,0,0,410
,,,Charter Schools Total:,14,457,"3,401",506,"1,656",0,"6,034"
,,,Interstate Schools,,,,,,,
,,,,,,,,,,
SAU #,SAU Name,District #,District Name,Pre School,Kindergarten,Elementary,Middle,High,PG,Total
78,Rivendell Interstate ,457,Rivendell,0,0,22,0,51,0,73
,,,Interstate Total:,0,0,22,0,51,0,73
,,,,,,,,,,
,,,,,,,,,,
Foot Notes,,,,,,,,,,
Academic School year starts July 1 through June 30.,,,,,,,,,,
Rivendell School District counts includes NH resident students only,,,,,,,,,,
Data Source,,,,,,,,,,
Data collected through i4see system BOY Submission.,,,,,,,,,,
