Indicator Category,Indicator Name,School / District,School / District Level,School / District Type,Region,Entity ID,Entity Name,Category,2024,2023,2022
Profile,Students with Disability (%),District,District,District,South Central,9,Allenstown,Profile,22.09%,21.66%,22.55%
Profile,Students with Disability (%),District,District,District,South Central,17,Amherst,Profile,19.46%,18.19%,16.86%
Profile,Students with Disability (%),District,District,District,South Central,29,Auburn,Profile,12.23%,12.69%,13.04%
Profile,Students with Disability (%),District,District,District,South Central,41,Bedford,Profile,16.58%,16.04%,15.34%
Profile,Students with Disability (%),District,District,District,South Central,79,Candia,Profile,11.85%,13.92%,15.64%
Profile,Students with Disability (%),District,District,District,South Central,99,Chichester,Profile,12.77%,15.23%,17.09%
Profile,Students with Disability (%),District,District,District,South Central,127,Deerfield,Profile,21.62%,21.37%,20.38%
Profile,Students with Disability (%),District,District,District,South Central,131,Derry Cooperative,Profile,24.07%,25.17%,24.94%
Profile,Students with Disability (%),District,District,District,South Central,167,Epsom,Profile,22.43%,21.99%,20.58%
Profile,Students with Disability (%),District,District,District,South Central,199,Goffstown,Profile,21.51%,21.51%,20.38%
Profile,Students with Disability (%),District,District,District,South Central,223,Hampstead,Profile,23.61%,21.77%,21.32%
Profile,Students with Disability (%),District,District,District,South Central,261,Hooksett,Profile,20.82%,17.68%,17.80%
Profile,Students with Disability (%),District,District,District,South Central,267,Hudson,Profile,17.46%,16.50%,15.95%
Profile,Students with Disability (%),District,District,District,South Central,315,Litchfield,Profile,20.26%,20.88%,19.66%
Profile,Students with Disability (%),District,District,District,South Central,319,Londonderry,Profile,21.33%,20.86%,20.35%
Profile,Students with Disability (%),District,District,District,South Central,335,Manchester,Profile,23.06%,21.98%,21.34%
Profile,Students with Disability (%),District,District,District,South Central,351,Merrimack,Profile,21.84%,22.05%,20.69%
Profile,Students with Disability (%),District,District,District,South Central,367,Mont Vernon,Profile,15.15%,16.19%,13.43%
Profile,Students with Disability (%),District,District,District,South Central,371,Nashua,Profile,22.12%,20.77%,20.19%
Profile,Students with Disability (%),District,District,District,South Central,377,New Boston,Profile,20.50%,18.36%,19.84%
Profile,Students with Disability (%),District,District,District,South Central,425,Pelham,Profile,17.99%,17.27%,17.91%
Profile,Students with Disability (%),District,District,District,South Central,427,Pembroke,Profile,20.10%,19.50%,18.86%
Profile,Students with Disability (%),District,District,District,South Central,453,Raymond,Profile,20.25%,21.11%,22.67%
Profile,Students with Disability (%),District,District,District,South Central,473,Salem,Profile,17.89%,17.43%,16.09%
Profile,Students with Disability (%),District,District,District,South Central,493,Souhegan Cooperative,Profile,17.37%,16.62%,16.38%
Profile,Students with Disability (%),District,District,District,South Central,534,Timberlane Regional,Profile,21.15%,21.99%,21.89%
Profile,Students with Disability (%),District,District,District,South Central,575,Windham,Profile,16.97%,16.71%,16.74%
Profile,Students with Disability (%),District,District,District,South Central,702,Arts Academy of New Hampshire Chartered Public High School,Profile,14.17%,10.94%,13.33%
Profile,Students with Disability (%),District,District,District,South Central,708,Kreiva Academy Public Charter School,Profile,29.14%,28.08%,32.39%
Profile,Students with Disability (%),District,District,District,South Central,712,Windham Academy Public Charter School,Profile,12.74%,11.97%,12.42%
Profile,Students with Disability (%),District,District,District,South Central,714,Spark Academy of Advanced Technologies,Profile,*N,*N,*N
Profile,Students with Disability (%),District,District,District,South Central,721,Strong Foundations Charter School,Profile,24.40%,25.16%,22.46%
Profile,Students with Disability (%),District,District,District,South Central,729,Mill Falls Charter School,Profile,17.96%,19.64%,22.02%
Profile,Students with Disability (%),District,District,District,South Central,731,The Birches Academy of Academics & Art A Public Charter Sch,Profile,12.34%,17.78%,17.04%
Profile,Students with Disability (%),District,District,District,South Central,733,Making Community Connections Charter School,Profile,24.62%,25.81%,26.53%
Profile,Students with Disability (%),District,District,District,South Central,735,Polaris Charter School,Profile,15.57%,19.17%,17.80%
Profile,Students with Disability (%),District,District,District,South Central,740,Next Charter School,Profile,41.10%,45.57%,51.85%
Profile,Students with Disability (%),District,District,District,South Central,741,The Founders Academy Charter School,Profile,10.47%,<10.00%,10.66%
Profile,Students with Disability (%),District,District,District,South Central,742,Gate City Charter School For the Arts,Profile,19.72%,19.21%,15.48%
Profile,Students with Disability (%),District,District,District,South Central,999,Pinkerton Academy,Profile,18.61%,17.91%,17.55%
Profile,Students with Disability (%),District,District,District,Southeast,33,Barrington,Profile,21.55%,21.22%,21.59%
Profile,Students with Disability (%),District,District,District,Southeast,63,Brentwood,Profile,22.03%,22.87%,22.49%
Profile,Students with Disability (%),District,District,District,Southeast,93,Chester,Profile,19.46%,21.71%,23.65%
Profile,Students with Disability (%),District,District,District,Southeast,141,Dover,Profile,21.31%,21.62%,21.12%
Profile,Students with Disability (%),District,District,District,Southeast,153,East Kingston,Profile,26.27%,22.14%,18.38%
Profile,Students with Disability (%),District,District,District,Southeast,165,Epping,Profile,20.67%,18.77%,18.68%
Profile,Students with Disability (%),District,District,District,Southeast,172,Exeter Region Cooperative,Profile,18.21%,16.50%,15.87%
Profile,Students with Disability (%),District,District,District,Southeast,173,Exeter,Profile,19.53%,19.71%,19.88%
Profile,Students with Disability (%),District,District,District,Southeast,175,Farmington,Profile,21.12%,20.45%,22.41%
Profile,Students with Disability (%),District,District,District,Southeast,189,Fremont,Profile,23.42%,20.80%,20.68%
Profile,Students with Disability (%),District,District,District,Southeast,215,Greenland,Profile,15.63%,12.67%,11.76%
Profile,Students with Disability (%),District,District,District,Southeast,225,Hampton,Profile,17.83%,18.69%,17.35%
Profile,Students with Disability (%),District,District,District,Southeast,227,Hampton Falls,Profile,24.86%,19.46%,18.78%
Profile,Students with Disability (%),District,District,District,Southeast,281,Kensington,Profile,20.98%,21.32%,16.41%
Profile,Students with Disability (%),District,District,District,Southeast,353,Middleton,Profile,19.08%,19.61%,22.30%
Profile,Students with Disability (%),District,District,District,Southeast,359,Milton,Profile,24.90%,24.25%,22.67%
Profile,Students with Disability (%),District,District,District,Southeast,381,New Castle,Profile,*N,*N,*N
Profile,Students with Disability (%),District,District,District,Southeast,387,Newfields,Profile,23.97%,24.58%,19.83%
Profile,Students with Disability (%),District,District,District,Southeast,391,Newington,Profile,*N,*N,*N
Profile,Students with Disability (%),District,District,District,Southeast,399,Newmarket,Profile,19.73%,19.52%,19.05%
Profile,Students with Disability (%),District,District,District,Southeast,405,North Hampton,Profile,21.85%,21.45%,25.00%
Profile,Students with Disability (%),District,District,District,Southeast,411,Northwood,Profile,21.39%,19.33%,18.60%
Profile,Students with Disability (%),District,District,District,Southeast,413,Nottingham,Profile,14.45%,13.27%,11.81%
Profile,Students with Disability (%),District,District,District,Southeast,423,Oyster River Coop,Profile,17.42%,18.09%,16.87%
Profile,Students with Disability (%),District,District,District,Southeast,449,Portsmouth,Profile,19.67%,18.43%,18.26%
Profile,Students with Disability (%),District,District,District,Southeast,461,Rochester,Profile,22.23%,20.50%,19.80%
Profile,Students with Disability (%),District,District,District,Southeast,463,Rollinsford,Profile,13.01%,15.63%,16.42%
Profile,Students with Disability (%),District,District,District,Southeast,471,Rye,Profile,11.75%,12.28%,12.02%
Profile,Students with Disability (%),District,District,District,Southeast,476,Sanborn Regional,Profile,25.35%,25.32%,23.66%
Profile,Students with Disability (%),District,District,District,Southeast,485,Seabrook,Profile,19.84%,18.64%,16.89%
Profile,Students with Disability (%),District,District,District,Southeast,491,Somersworth,Profile,24.36%,21.68%,20.70%
Profile,Students with Disability (%),District,District,District,Southeast,495,South Hampton,Profile,21.69%,21.35%,25.58%
Profile,Students with Disability (%),District,District,District,Southeast,507,Strafford,Profile,22.14%,19.11%,16.75%
Profile,Students with Disability (%),District,District,District,Southeast,511,Stratham,Profile,18.23%,18.23%,16.33%
Profile,Students with Disability (%),District,District,District,Southeast,543,Wakefield,Profile,20.85%,20.85%,20.09%
Profile,Students with Disability (%),District,District,District,Southeast,581,Winnacunnet Cooperative,Profile,18.97%,16.78%,16.04%
Profile,Students with Disability (%),District,District,District,Southeast,705,Seacoast Charter School,Profile,20.56%,18.06%,17.33%
Profile,Students with Disability (%),District,District,District,Southeast,709,Great Bay Charter School,Profile,35.82%,30.77%,32.65%
Profile,Students with Disability (%),District,District,District,Southeast,727,Virtual Learning Academy Charter School,Profile,<10.00%,<10.00%,<10.00%
Profile,Students with Disability (%),District,District,District,Southeast,998,Coe-Brown Northwood Academy,Profile,14.16%,13.85%,11.80%
Profile,Students with Disability (%),District,District,District,Southwest,71,Brookline,Profile,19.65%,21.34%,18.35%
Profile,Students with Disability (%),District,District,District,Southwest,95,Chesterfield,Profile,14.11%,13.31%,11.36%
Profile,Students with Disability (%),District,District,District,Southwest,101,Claremont,Profile,25.17%,24.42%,20.90%
Profile,Students with Disability (%),District,District,District,Southwest,112,Contoocook Valley,Profile,23.00%,21.00%,19.87%
Profile,Students with Disability (%),District,District,District,Southwest,115,Cornish,Profile,13.24%,13.60%,15.32%
Profile,Students with Disability (%),District,District,District,Southwest,117,Croydon,Profile,*N,*N,*N
Profile,Students with Disability (%),District,District,District,Southwest,142,Dresden,Profile,11.45%,12.14%,11.48%
Profile,Students with Disability (%),District,District,District,Southwest,174,Fall Mountain Regional,Profile,21.72%,21.07%,20.60%
Profile,Students with Disability (%),District,District,District,Southwest,211,Grantham,Profile,16.24%,14.76%,11.59%
Profile,Students with Disability (%),District,District,District,Southwest,233,Hanover,Profile,16.44%,16.92%,15.90%
Profile,Students with Disability (%),District,District,District,Southwest,235,Harrisville,Profile,*N,*N,*N
Profile,Students with Disability (%),District,District,District,Southwest,245,Henniker,Profile,23.68%,21.86%,20.25%
Profile,Students with Disability (%),District,District,District,Southwest,251,Hillsboro-Deering Cooperative,Profile,23.46%,24.64%,22.14%
Profile,Students with Disability (%),District,District,District,Southwest,255,Hinsdale,Profile,24.47%,23.19%,21.66%
Profile,Students with Disability (%),District,District,District,Southwest,259,Hollis,Profile,18.65%,17.12%,13.68%
Profile,Students with Disability (%),District,District,District,Southwest,260,Hollis-Brookline Cooperative,Profile,12.66%,12.21%,12.42%
Profile,Students with Disability (%),District,District,District,Southwest,263,Hopkinton,Profile,18.92%,19.51%,18.66%
Profile,Students with Disability (%),District,District,District,Southwest,274,Jaffrey-Rindge Cooperative,Profile,20.03%,19.95%,18.44%
Profile,Students with Disability (%),District,District,District,Southwest,275,John Stark Regional,Profile,15.87%,13.14%,11.40%
Profile,Students with Disability (%),District,District,District,Southwest,276,Kearsarge Regional,Profile,17.33%,15.52%,14.09%
Profile,Students with Disability (%),District,District,District,Southwest,279,Keene,Profile,19.88%,18.97%,19.95%
Profile,Students with Disability (%),District,District,District,Southwest,295,Lebanon,Profile,16.83%,15.95%,15.61%
Profile,Students with Disability (%),District,District,District,Southwest,299,Lempster,Profile,21.14%,21.05%,23.53%
Profile,Students with Disability (%),District,District,District,Southwest,327,Lyme,Profile,13.85%,15.54%,17.68%
Profile,Students with Disability (%),District,District,District,Southwest,339,Marlborough,Profile,27.39%,24.03%,23.75%
Profile,Students with Disability (%),District,District,District,Southwest,341,Marlow,Profile,*N,*N,*N
Profile,Students with Disability (%),District,District,District,Southwest,342,Mascenic Regional,Profile,16.25%,15.36%,14.42%
Profile,Students with Disability (%),District,District,District,Southwest,345,Mason,Profile,13.54%,11.65%,*N
Profile,Students with Disability (%),District,District,District,Southwest,357,Milford,Profile,19.74%,19.26%,19.69%
Profile,Students with Disability (%),District,District,District,Southwest,363,Monadnock Regional,Profile,18.82%,18.44%,18.56%
Profile,Students with Disability (%),District,District,District,Southwest,375,Nelson,Profile,22.22%,*N,18.03%
Profile,Students with Disability (%),District,District,District,Southwest,401,Newport,Profile,28.90%,28.13%,26.44%
Profile,Students with Disability (%),District,District,District,Southwest,441,Plainfield,Profile,19.39%,17.48%,15.49%
Profile,Students with Disability (%),District,District,District,Southwest,457,Rivendell,Profile,26.58%,25.64%,21.95%
Profile,Students with Disability (%),District,District,District,Southwest,503,Stoddard,Profile,24.07%,*N,26.23%
Profile,Students with Disability (%),District,District,District,Southwest,513,Sullivan,Profile,NA,NA,NA
Profile,Students with Disability (%),District,District,District,Southwest,515,Sunapee,Profile,15.70%,15.55%,13.94%
Profile,Students with Disability (%),District,District,District,Southwest,519,Surry,Profile,,,NA
Profile,Students with Disability (%),District,District,District,Southwest,539,Unity,Profile,29.03%,26.00%,18.09%
Profile,Students with Disability (%),District,District,District,Southwest,551,Washington,Profile,*N,21.15%,21.15%
Profile,Students with Disability (%),District,District,District,Southwest,555,Weare,Profile,28.00%,25.08%,23.67%
Profile,Students with Disability (%),District,District,District,Southwest,563,Westmoreland,Profile,22.22%,23.64%,20.00%
Profile,Students with Disability (%),District,District,District,Southwest,572,Wilton-Lyndeborough Cooperative,Profile,21.48%,19.57%,20.00%
Profile,Students with Disability (%),District,District,District,Southwest,573,Winchester,Profile,22.91%,23.25%,21.57%
