Indicator Category,Indicator Name,School / District,School / District Level,School / District Type,Region,Entity ID,Entity Name,Category,2024,2023,2022
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,405,North Hampton,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,411,Northwood,College and Career Readiness,NA,*N,*N
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,413,Nottingham,College and Career Readiness,*N,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,423,Oyster River Coop,College and Career Readiness,97.06%,93.85%,96.79%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,449,Portsmouth,College and Career Readiness,95.18%,97.13%,94.68%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,461,Rochester,College and Career Readiness,84.02%,79.39%,78.30%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,463,Rollinsford,College and Career Readiness,92.31%,90.48%,95.24%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,471,Rye,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,476,Sanborn Regional,College and Career Readiness,97.81%,88.64%,88.82%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,485,Seabrook,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,491,Somersworth,College and Career Readiness,88.17%,80.41%,73.68%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,495,South Hampton,College and Career Readiness,*N,*N,%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,507,Strafford,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,511,Stratham,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,543,Wakefield,College and Career Readiness,NA,NA,*N
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,581,Winnacunnet Cooperative,College and Career Readiness,91.43%,90.36%,91.61%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,705,Seacoast Charter School,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,709,Great Bay Charter School,College and Career Readiness,83.87%,76.00%,87.50%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,727,Virtual Learning Academy Charter School,College and Career Readiness,69.75%,70.79%,66.67%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southeast,998,Coe-Brown Northwood Academy,College and Career Readiness,98.81%,98.79%,98.60%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,71,Brookline,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,95,Chesterfield,College and Career Readiness,NA,NA,*N
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,101,Claremont,College and Career Readiness,79.59%,77.78%,80.31%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,112,Contoocook Valley,College and Career Readiness,93.04%,92.86%,93.53%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,115,Cornish,College and Career Readiness,*N,*N,*N
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,117,Croydon,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,142,Dresden,College and Career Readiness,96.91%,96.91%,97.44%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,174,Fall Mountain Regional,College and Career Readiness,85.60%,83.33%,95.76%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,211,Grantham,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,233,Hanover,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,235,Harrisville,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,245,Henniker,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,251,Hillsboro-Deering Cooperative,College and Career Readiness,84.04%,80.49%,77.01%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,255,Hinsdale,College and Career Readiness,90.32%,87.10%,84.62%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,259,Hollis,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,260,Hollis-Brookline Cooperative,College and Career Readiness,93.60%,96.59%,93.78%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,263,Hopkinton,College and Career Readiness,100.00%,97.01%,97.47%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,274,Jaffrey-Rindge Cooperative,College and Career Readiness,97.65%,85.19%,88.04%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,275,John Stark Regional,College and Career Readiness,86.63%,91.11%,83.21%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,276,Kearsarge Regional,College and Career Readiness,95.04%,92.14%,95.08%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,279,Keene,College and Career Readiness,92.48%,86.58%,89.58%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,295,Lebanon,College and Career Readiness,91.03%,94.00%,90.30%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,299,Lempster,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,327,Lyme,College and Career Readiness,*N,*N,*N
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,339,Marlborough,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,341,Marlow,College and Career Readiness,NA,*N,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,342,Mascenic Regional,College and Career Readiness,94.34%,87.27%,92.06%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,345,Mason,College and Career Readiness,NA,*N,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,357,Milford,College and Career Readiness,87.80%,92.57%,90.16%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,363,Monadnock Regional,College and Career Readiness,84.26%,82.61%,84.11%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,375,Nelson,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,401,Newport,College and Career Readiness,70.49%,80.00%,79.37%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,441,Plainfield,College and Career Readiness,NA,NA,*N
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,457,Rivendell,College and Career Readiness,92.86%,*N,100.00%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,503,Stoddard,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,513,Sullivan,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,515,Sunapee,College and Career Readiness,97.14%,97.22%,100.00%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,519,Surry,College and Career Readiness,,,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,539,Unity,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,551,Washington,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,555,Weare,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,563,Westmoreland,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,572,Wilton-Lyndeborough Cooperative,College and Career Readiness,93.33%,100.00%,95.56%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,573,Winchester,College and Career Readiness,*N,NA,*N
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,717,Surry Village Charter School,College and Career Readiness,NA,NA,NA
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,719,Ledyard Charter School,College and Career Readiness,*N,*N,46.15%
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,722,Lionheart Classical Academy Chartered Public School,College and Career Readiness,NA,NA,
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,724,River View Chartered Public School,College and Career Readiness,*N,,
College and Career Readiness,Graduation Rate - 4YR (%),District,District,District,Southwest,750,Gathering Waters Charter School,College and Career Readiness,*N,NA,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,15,Alton,Educator,78.06%,74.09%,82.94%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,19,Andover,Educator,93.98%,98.88%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,23,Ashland,Educator,100.00%,98.40%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,31,Barnstead,Educator,87.57%,83.68%,99.35%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,57,Bow,Educator,86.59%,90.60%,91.27%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,75,Campton,Educator,100.00%,91.11%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,111,Concord,Educator,97.92%,98.29%,97.65%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,149,Dunbarton,Educator,76.47%,83.53%,76.47%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,185,Franklin,Educator,82.89%,84.96%,89.31%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,187,Freedom,Educator,NA,62.50%,90.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,191,Gilford,Educator,98.18%,98.07%,96.88%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,195,Gilmanton,Educator,95.83%,100.00%,95.24%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,208,Governor Wentworth Regional,Educator,97.81%,96.20%,96.79%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,247,Hill,Educator,78.57%,75.00%,98.41%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,257,Holderness,Educator,86.11%,95.88%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,269,Inter-Lakes Cooperative,Educator,96.23%,91.81%,99.31%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,285,Laconia,Educator,92.34%,90.83%,93.53%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,333,Madison,Educator,94.12%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,343,Mascoma Valley Regional,Educator,96.06%,98.11%,97.47%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,352,Merrimack Valley,Educator,92.48%,94.23%,97.23%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,369,Moultonborough,Educator,93.92%,92.40%,96.21%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,388,Newfound Area,Educator,98.91%,98.90%,97.57%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,428,Pemi-Baker Regional,Educator,91.88%,91.60%,93.53%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,439,Pittsfield,Educator,66.20%,80.68%,64.88%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,447,Plymouth,Educator,96.74%,98.79%,92.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,467,Rumney,Educator,88.89%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,486,Shaker Regional,Educator,95.89%,93.06%,97.89%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,525,Tamworth,Educator,89.89%,82.76%,80.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,531,Thornton,Educator,100.00%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,553,Waterville Valley,Educator,100.00%,100.00%,92.86%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,559,Wentworth,Educator,100.00%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,582,Winnisquam Regional,Educator,94.01%,98.47%,96.42%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,704,Mountain Village Charter School,Educator,NA,NA,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,723,CSI Charter School,Educator,NA,NA,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,725,Academy for Science and Design Charter School,Educator,16.56%,31.08%,33.01%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,726,Benjamin Franklin Academy Chartered Public School,Educator,NA,,
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,743,Compass Classical Academy Charter School,Educator,66.67%,NA,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,744,MicroSociety Academy Charter School Foundation,Educator,54.55%,78.95%,66.67%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Lakes Region,970,Prospect Mountain JMA,Educator,89.30%,97.89%,97.67%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,35,Bartlett,Educator,88.48%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,39,Bath,Educator,85.71%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,47,Benton,Educator,,,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,51,Berlin,Educator,88.32%,93.55%,96.05%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,53,Bethlehem,Educator,67.57%,100.00%,90.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,91,Chatham,Educator,NA,NA,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,103,Clarksville,Educator,NA,NA,
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,105,Colebrook,Educator,63.55%,65.38%,65.32%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,113,Conway,Educator,96.57%,98.26%,95.97%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,159,Eaton,Educator,,,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,171,Errol,Educator,50.00%,55.56%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,203,Gorham Randolph Shelburne Cooperative,Educator,89.24%,78.57%,81.54%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,222,Hale's Location (Carroll County),Educator,NA,NA,
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,238,Haverhill Cooperative,Educator,66.31%,89.35%,91.06%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,271,Jackson,Educator,97.06%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,288,Lafayette Regional,Educator,90.00%,77.27%,83.33%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,291,Landaff,Educator,82.05%,67.57%,57.69%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,305,Lincoln-Woodstock Cooperative,Educator,87.61%,83.40%,90.43%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,306,Lisbon Regional,Educator,90.96%,72.82%,70.70%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,317,Littleton,Educator,92.96%,90.82%,90.45%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,355,Milan,Educator,81.42%,95.74%,70.77%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,365,Monroe,Educator,79.78%,100.00%,92.31%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,407,Northumberland,Educator,80.84%,89.18%,89.52%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,435,Piermont,Educator,63.27%,76.92%,61.54%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,437,Pittsburg,Educator,100.00%,58.97%,64.29%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,450,Profile,Educator,91.96%,85.45%,83.77%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,499,Stark,Educator,100.00%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,501,Stewartstown,Educator,86.96%,98.45%,97.01%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,509,Stratford,Educator,85.54%,100.00%,80.82%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,549,Warren,Educator,46.05%,81.82%,90.48%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,568,White Mountains Regional,Educator,84.96%,91.31%,80.07%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,703,North Country Charter Academy,Educator,NA,NA,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,716,Northeast Woodland Chartered Public School,Educator,NA,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,718,Heartwood Public Charter School,Educator,NA,NA,
Educator,Classes by Certified Educators in the Subject (%),District,District,District,North Country,737,Robert Frost Charter School,Educator,NA,NA,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,9,Allenstown,Educator,100.00%,89.70%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,17,Amherst,Educator,95.01%,95.92%,96.42%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,29,Auburn,Educator,89.17%,88.82%,97.92%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,41,Bedford,Educator,96.17%,97.94%,97.94%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,79,Candia,Educator,90.32%,100.00%,98.92%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,99,Chichester,Educator,100.00%,96.84%,85.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,127,Deerfield,Educator,97.58%,96.83%,97.52%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,131,Derry Cooperative,Educator,95.00%,97.00%,97.56%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,167,Epsom,Educator,99.52%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,199,Goffstown,Educator,97.74%,98.82%,98.41%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,223,Hampstead,Educator,84.71%,89.81%,91.94%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,261,Hooksett,Educator,97.70%,99.14%,96.73%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,267,Hudson,Educator,90.07%,96.91%,91.71%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,315,Litchfield,Educator,95.06%,97.16%,98.10%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,319,Londonderry,Educator,90.13%,90.13%,94.15%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,335,Manchester,Educator,82.84%,92.98%,95.85%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,351,Merrimack,Educator,97.86%,98.73%,96.26%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,367,Mont Vernon,Educator,100.00%,100.00%,97.50%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,371,Nashua,Educator,92.31%,97.75%,98.39%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,377,New Boston,Educator,100.00%,100.00%,98.81%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,425,Pelham,Educator,92.63%,95.06%,94.45%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,427,Pembroke,Educator,98.61%,98.00%,95.57%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,453,Raymond,Educator,97.99%,96.54%,88.63%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,473,Salem,Educator,94.22%,97.76%,97.89%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,493,Souhegan Cooperative,Educator,90.17%,92.12%,95.36%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,534,Timberlane Regional,Educator,85.78%,91.41%,91.69%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,575,Windham,Educator,98.40%,98.30%,99.54%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,702,Arts Academy of New Hampshire Chartered Public High School,Educator,61.82%,57.33%,60.81%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,708,Kreiva Academy Public Charter School,Educator,NA,NA,50.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,712,Windham Academy Public Charter School,Educator,71.43%,75.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,714,Spark Academy of Advanced Technologies,Educator,NA,100.00%,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,721,Strong Foundations Charter School,Educator,100.00%,NA,94.12%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,729,Mill Falls Charter School,Educator,NA,NA,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,731,The Birches Academy of Academics & Art A Public Charter Sch,Educator,44.44%,NA,90.48%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,733,Making Community Connections Charter School,Educator,100.00%,0.00%,NA
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,735,Polaris Charter School,Educator,37.50%,66.67%,62.50%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,740,Next Charter School,Educator,NA,100.00%,40.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,741,The Founders Academy Charter School,Educator,NA,0.00%,0.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,742,Gate City Charter School For the Arts,Educator,NA,NA,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,South Central,999,Pinkerton Academy,Educator,86.40%,90.40%,89.23%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,33,Barrington,Educator,90.73%,95.79%,97.47%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,63,Brentwood,Educator,96.97%,97.92%,98.94%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,93,Chester,Educator,76.52%,90.45%,90.86%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,141,Dover,Educator,76.63%,90.38%,80.22%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,153,East Kingston,Educator,79.17%,81.63%,92.31%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,165,Epping,Educator,75.98%,76.51%,84.11%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,172,Exeter Region Cooperative,Educator,88.83%,95.25%,94.89%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,173,Exeter,Educator,74.32%,72.04%,77.94%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,175,Farmington,Educator,88.89%,91.22%,97.45%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,189,Fremont,Educator,84.91%,100.00%,95.90%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,215,Greenland,Educator,93.56%,95.41%,99.56%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,225,Hampton,Educator,99.35%,99.68%,99.81%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,227,Hampton Falls,Educator,81.43%,66.89%,82.35%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,281,Kensington,Educator,55.00%,83.93%,81.40%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,353,Middleton,Educator,97.44%,94.12%,96.15%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,359,Milton,Educator,100.00%,93.64%,77.28%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,381,New Castle,Educator,85.71%,88.00%,86.36%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,387,Newfields,Educator,79.41%,65.85%,62.16%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,391,Newington,Educator,75.00%,77.78%,75.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,399,Newmarket,Educator,97.84%,92.36%,96.39%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,405,North Hampton,Educator,97.17%,97.58%,98.18%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,411,Northwood,Educator,85.25%,100.00%,96.49%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,413,Nottingham,Educator,91.45%,98.71%,39.84%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,423,Oyster River Coop,Educator,95.35%,94.95%,95.77%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,449,Portsmouth,Educator,90.29%,95.32%,95.32%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,461,Rochester,Educator,88.20%,91.72%,95.54%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,463,Rollinsford,Educator,100.00%,100.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,471,Rye,Educator,87.50%,89.52%,94.04%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,476,Sanborn Regional,Educator,78.88%,79.91%,84.11%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,485,Seabrook,Educator,98.54%,98.26%,99.73%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,491,Somersworth,Educator,87.09%,90.89%,96.06%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,495,South Hampton,Educator,84.21%,80.00%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,507,Strafford,Educator,100.00%,98.79%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,511,Stratham,Educator,98.20%,98.22%,99.40%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,543,Wakefield,Educator,55.51%,81.82%,94.64%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,581,Winnacunnet Cooperative,Educator,99.19%,98.45%,100.00%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,705,Seacoast Charter School,Educator,NA,100.00%,62.50%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,709,Great Bay Charter School,Educator,55.88%,37.50%,50.68%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,727,Virtual Learning Academy Charter School,Educator,83.70%,76.61%,74.86%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southeast,998,Coe-Brown Northwood Academy,Educator,94.05%,96.64%,96.25%
Educator,Classes by Certified Educators in the Subject (%),District,District,District,Southwest,71,Brookline,Educator,100.00%,100.00%,100.00%
