LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,PCT_CITY11,PCT_CITY12,PCT_CITY13,PCT_SUB21,PCT_SUB22,PCT_SUB23,PCT_TOWN31,PCT_TOWN32,PCT_TOWN33,PCT_RURAL41,PCT_RURAL42,PCT_RURAL43
3303120,Freedom School District,33,881A Tamworth Road,Tamworth,NH,03886,33,33003,Carroll County,43.83629,-71.264982,N,N,0,N,N,3301,33103,33003,2023-2024,43,0,0,0,0,0,0,0,0,0,0,0,100
3303150,Fremont School District,33,432 Main Street,Fremont,NH,03044,33,33015,Rockingham County,42.985279,-71.129857,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33707,33023,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3303180,Gilford School District,33,2 Belknap Mountain Road,Gilford,NH,03249,33,33001,Belknap County,43.548213,-71.406955,29060,"Laconia, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33006,33002,2023-2024,41,0,0,0,0,0,0,0,0,0,100,0,0
3303210,Gilmanton School District,33,1386 NH Route 140,Gilmanton,NH,03237,33,33001,Belknap County,43.423383,-71.332256,29060,"Laconia, NH",2,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33006,33006,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3303240,Goffstown School District,33,11 School St.,Goffstown,NH,03045,33,33011,Hillsborough County,43.019567,-71.598611,31700,"Manchester-Nashua, NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33529,33016,2023-2024,41,0,0,0,0,6.45,0,0,0,0,93.55,0,0
3303271,Virtual Learning Academy Charter School,33,30 Linden St.,Exeter,NH,03833,33,33015,Rockingham County,42.975703,-70.956147,14460,"Boston-Cambridge-Newton, MA-NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33711,33024,2023-2024,31,0,0,0,0,0,0,100,0,0,0,0,0
3303275,Surry School District,33,1 Village Road,Surry,NH,03431,33,33005,Cheshire County,43.019834,-72.321924,28300,"Keene, NH",2,313,"Keene-Brattleboro, NH-VT",3302,33205,33010,2023-2024,41,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3303276,Mason School District,33,13 Darling Hill Road,Mason,NH,03048,33,33011,Hillsborough County,42.744049,-71.768538,31700,"Manchester-Nashua, NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3302,33536,33012,2023-2024,42,0,0,0,0,0,0,0,0,0,0,100,0
3303279,Hale's Location (Carroll County) School District,33,91 Samuel Hale Dr.,Hale's Location,NH,03860,33,33003,Carroll County,44.043976,-71.162994,N,N,0,N,N,3301,33102,33003,2023-2024,41,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
3303280,Mill Falls Charter School,33,100 William Loeb Dr,Manchester,NH,03109,33,33011,Hillsborough County,42.975285,-71.405198,31700,"Manchester-Nashua, NH",1,148,"Boston-Worcester-Providence, MA-RI-NH",3301,33516,33018,2023-2024,12,0,100,0,0,0,0,0,0,0,0,0,0
