"district_code","district","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","pct_aian","n_aapi","pct_aapi","n_hispanic","pct_hispanic","n_black","pct_black","n_white","pct_white","n_multiracial","pct_multiracial","total","pct_lowinc","n_el","pct_el","pct_sped","n_ela_prof__9_12","pct_ela_prof__9_12","n_math_prof__9_12","pct_math_prof__9_12","n_ela_prof__3_8","pct_ela_prof__3_8","n_math_prof__3_8","pct_math_prof__3_8","pct_grad","pct_reg_attend","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert"
33,"Raymond","K-12","Traditional","Rural",4,1,1110,-0.11,4,0,11,0.01,69,0.06,10,0.01,988,0.89,28,0.03,"1,110",0.27,4,0,0.2,78,0.6,78,0.21,472,0.57,482,0.47,0.84,0.97,21295,0,0.92,0.02,0.06,NA,NA,1
78,"Rivendell Interstate","7-12","Regional","Rural",2,1,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,0.27,5,NA,5,NA,NA,NA,NA,NA,0.93,NA,NA,0,NA,NA,NA,NA,NA,NA
54,"Rochester","K-12","Traditional","Suburban",9,2,3768,-0.11,3,0,74,0.02,202,0.05,38,0.01,3260,0.86,191,0.05,"3,768",0.42,37,0.01,0.22,242,0.53,242,0.14,1454,0.38,1450,0.31,0.84,0.97,19582,0.11,0.99,0,0.01,NA,NA,1
104,"Rollinsford","K-6","Traditional","Rural",1,0,154,-0.01,0,0,0,0,8,0.05,0,0,138,0.9,8,0.05,"154",0.23,0,0,0.13,NA,NA,NA,NA,91,NA,91,NA,0.92,0.98,23622,0,1,NA,NA,NA,NA,0.920182330662353
57,"Salem","K-12","Traditional","Suburban",8,1,3538,0,6,0,113,0.03,505,0.14,48,0.01,2758,0.78,108,0.03,"3,538",0.17,160,0.05,0.18,242,0.63,242,0.27,1486,0.55,1486,0.47,0.91,0.98,19224,0,0.92,0.07,NA,NA,0.01,1
17,"Sanborn Regional","K-12","Traditional","Suburban",4,1,1207,-0.24,0,0,8,0.01,85,0.07,8,0.01,1079,0.89,27,0.02,"1,207",0.12,12,0.01,0.25,92,0.66,92,0.2,460,0.54,460,0.5,0.98,0.98,23756,0,0.98,0.02,NA,NA,NA,0.957461892644182
80,"Shaker Regional","K-12","Traditional","Rural",4,1,1137,-0.12,0,0,5,0,34,0.03,4,0,1060,0.93,34,0.03,"1,137",0.31,4,0,0.22,62,0.57,62,0.27,464,0.6,464,0.45,0.92,0.98,22025,0,0.98,0.02,NA,NA,0,1
56,"Somersworth","K-12","Traditional","Suburban",4,1,1303,-0.13,0,0,110,0.08,112,0.09,36,0.03,947,0.73,98,0.08,"1,303",0.42,7,0.01,0.24,88,0.45,88,0.16,530,0.41,530,0.22,0.88,0.98,21031,0,0.97,0.01,NA,NA,0.01,0.924800887481859
105,"Strafford","K-8","Traditional","Rural",1,0,376,-0.09,0,0,1,0,2,0.01,0,0,368,0.98,5,0.01,"376",0.17,0,0,0.22,NA,NA,NA,NA,220,0.48,220,0.45,NA,0.97,19642,0,1,NA,NA,NA,NA,1
85,"Sunapee","K-12","Traditional","Rural",3,1,400,0,0,0,13,0.03,17,0.04,2,0,362,0.9,6,0.01,"400",0.18,0,0,0.16,28,0.71,28,0.43,192,0.69,192,0.67,0.97,0.98,30750,0,NA,NA,NA,NA,NA,1
