"district","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_n","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"Hamden School District",620011,"K-12","Traditional","Suburban",22,3,5464,-0.01,6,364,1782,1630,373,1304,6,0,0.07,0.33,0.3,0.07,0.24,0.46,0.09,0.2,962,0.4,807,0.34,186,0.48,71,0.18,402,0.84,0.21,23244,0,0.84,0.07,0.01,0.01,0.07,1,388,0.9
"Hampton School District",630011,"K-6","Traditional","Rural",1,0,74,-0.18,0,3,3,3,3,62,0,0,0.04,0.04,0.04,0.04,0.84,0.49,0,0.3,15,0.52,15,0.52,NA,NA,NA,NA,NA,NA,0.16,28863,0,0.79,0.15,0.06,NA,NA,1,7,0.78
"Hartford School District",640011,"K-12","Traditional","Urban",59,15,16434,-0.13,61,765,4686,9431,498,973,20,0,0.05,0.29,0.57,0.03,0.06,0.77,0.26,0.21,1352,0.2,1262,0.19,279,0.32,136,0.16,1001,0.79,0.36,23095,0.33,0.6,0.36,0.03,0,0.02,0.98,1035,0.82
"Hartland School District",650011,"K-8","Traditional","Rural",1,0,123,-0.22,0,0,0,8,8,108,0,0,0,0,0.06,0.06,0.88,0.05,0,0.19,46,0.57,45,0.56,NA,NA,NA,NA,NA,NA,0.06,31190,0,0.98,0.04,NA,NA,NA,1,17,0.94
"Hebron School District",670011,"K-6","Traditional","Rural",2,0,681,0.03,5,10,5,35,28,598,0,0.01,0.01,0.01,0.05,0.04,0.88,0.17,0,0.15,248,0.69,231,0.64,NA,NA,NA,NA,NA,NA,0.07,19816,0,0.98,0.03,NA,NA,NA,1,55,0.87
"Highville Charter School District",2860013,"K-12","Charter","Urban",1,1,499,0.08,2,0,411,72,11,2,2,0,0,0.82,0.14,0.02,0,0.71,0.01,0.1,74,0.32,41,0.18,6,0.5,6,0.5,14,0.82,0.24,13203,0,NA,NA,NA,NA,NA,0.57,23,0.88
"Integrated Day Charter School District",2640013,"K-8","Charter","Urban",1,0,364,0.03,20,48,42,90,20,145,0,0.05,0.13,0.12,0.25,0.05,0.4,0.53,0.07,0.11,117,0.51,81,0.35,NA,NA,NA,NA,NA,NA,0.13,14835,0,NA,NA,NA,NA,NA,1,22,0.85
"Jumoke Academy District",2610013,"K-12","Charter","Urban",1,1,571,-0.19,2,0,528,39,2,0,0,0,0,0.92,0.07,0,0,0.01,0.02,0.08,72,0.22,63,0.2,0,NA,0,NA,NA,NA,0.2,17124,0,NA,NA,NA,NA,NA,0.71,22,0.73
"Kent School District",680011,"K-8","Traditional","Rural",1,0,180,-0.12,0,3,3,24,11,139,0,0,0.02,0.02,0.13,0.06,0.77,0.27,0.02,0.16,68,0.64,65,0.61,NA,NA,NA,NA,NA,NA,0.13,31348,0,NA,NA,NA,NA,NA,1,28,1
"Killingly School District",690011,"K-12","Traditional","Rural",5,1,2392,-0.04,4,44,51,317,165,1807,4,0,0.02,0.02,0.13,0.07,0.76,0.51,0.03,0.21,432,0.43,297,0.3,117,0.62,31,0.16,129,0.85,0.2,20989,0,0.9,0.04,0.06,0,NA,1,178,0.88
"Learn",2450014,"K-12","Regional","Suburban",9,7,1390,-0.45,20,20,117,547,192,494,0,0.01,0.01,0.08,0.39,0.14,0.36,0.59,0.09,0.19,85,0.39,55,0.26,77,0.71,44,0.4,101,0.97,0.19,24012,0,NA,NA,NA,NA,NA,1,99,0.79
"Lebanon School District",710011,"K-12","Traditional","Rural",4,2,968,-0.02,6,10,11,87,25,823,6,0.01,0.02,0.01,0.09,0.03,0.85,0.28,0.01,0.19,239,0.66,215,0.6,39,0.56,21,0.3,69,0.83,0.12,23517,0,0.9,0.04,0.04,0.03,NA,1,93,0.96
"Ledyard School District",720011,"K-12","Traditional","Rural",6,2,2347,-0.03,36,62,68,342,229,1604,6,0.02,0.03,0.03,0.15,0.1,0.68,0.29,0.02,0.2,523,0.5,482,0.46,136,0.78,66,0.38,182,0.94,0.14,18092,0,0.96,0.01,0.01,0.02,NA,1,170,0.87
"Lisbon School District",730011,"K-8","Traditional","Rural",1,0,422,0,5,5,9,51,32,320,0,0.01,0.01,0.02,0.12,0.08,0.76,0.36,0.02,0.22,123,0.48,113,0.44,0,NA,0,NA,NA,NA,0.15,19301,0,0.96,0.04,NA,NA,NA,1,32,0.84
"Madison School District",760011,"K-12","Traditional","Suburban",5,1,2445,-0.07,2,79,19,180,130,2032,2,0,0.03,0.01,0.07,0.05,0.83,0.05,0.01,0.17,881,0.81,868,0.8,155,0.85,112,0.61,202,0.95,0.05,25829,0,0.94,0.01,0.03,0.02,NA,1,220,0.92
"Manchester School District",770011,"K-12","Traditional","Suburban",16,5,6122,-0.03,35,516,1504,2239,256,1558,14,0.01,0.09,0.25,0.37,0.04,0.25,0.62,0.09,0.21,934,0.36,750,0.29,160,0.44,63,0.17,368,0.84,0.22,20321,0.1,0.81,0.08,0.05,0.02,0.03,1,479,0.83
"Mansfield School District",780011,"K-8","Traditional","Rural",2,0,966,-0.15,2,121,36,188,36,581,2,0,0.13,0.04,0.19,0.04,0.6,0.32,0.08,0.14,418,0.67,398,0.64,NA,NA,NA,NA,NA,NA,0.07,25984,0,0.85,0.02,0.04,0.09,0.01,1,84,0.88
"Marlborough School District",790011,"K-6","Traditional","Rural",1,0,458,0.02,2,12,2,43,10,388,0,0.01,0.03,0.01,0.09,0.02,0.85,0.19,0.01,0.13,170,0.69,174,0.7,NA,NA,NA,NA,NA,NA,0.07,19607,0,0.8,0.18,NA,0.02,NA,1,37,0.95
"Meriden School District",800011,"K-12","Traditional","Suburban",32,12,8707,0.07,8,146,1009,5422,456,1659,8,0,0.02,0.12,0.62,0.05,0.19,0.78,0.2,0.22,1864,0.48,1715,0.44,249,0.42,87,0.15,545,0.86,0.22,16646,0,0.7,0.27,0.01,0.03,NA,1,549,0.92
"Middletown School District",830011,"K-12","Traditional","Urban",20,5,4394,-0.05,12,218,921,1134,441,1656,12,0,0.05,0.21,0.26,0.1,0.38,0.52,0.07,0.19,774,0.4,572,0.29,125,0.45,43,0.15,288,0.9,0.25,24962,0,0.87,0.07,0.04,0.01,0.01,1,315,0.87
"Milford School District",840011,"K-12","Traditional","Suburban",16,5,5218,-0.07,4,402,253,883,263,3408,4,0,0.08,0.05,0.17,0.05,0.65,0.31,0.03,0.19,1303,0.59,1321,0.6,269,0.72,148,0.4,398,0.92,0.14,25639,0,0.89,0.03,0.03,0.05,0,1,455,0.93
"Monroe School District",850011,"K-12","Traditional","Suburban",7,3,3458,0.1,4,194,128,596,139,2393,4,0,0.06,0.04,0.17,0.04,0.69,0.13,0.02,0.17,1140,0.74,975,0.63,211,0.79,126,0.47,254,0.96,0.07,19719,0,0.88,0.04,0.04,0.04,NA,1,242,0.94
"Montville School District",860011,"K-12","Traditional","Rural",7,2,2001,-0.03,9,119,94,335,256,1179,9,0,0.06,0.05,0.17,0.13,0.59,0.44,0.05,0.21,477,0.49,448,0.46,80,0.59,33,0.24,106,0.89,0.17,21162,0,0.88,0.02,0.07,0.03,0.01,1,174,0.93
"Naugatuck School District",880011,"K-12","Traditional","Suburban",13,3,4095,-0.06,6,88,532,1685,200,1577,6,0,0.02,0.13,0.41,0.05,0.39,0.58,0.14,0.2,776,0.43,577,0.32,112,0.39,35,0.12,302,0.88,0.19,17922,0,0.75,0.07,0.16,0,0.01,0.99,272,0.89
"New Beginnings Inc Family Academy District",2800013,"K-6","Charter","Urban",1,0,431,-0.15,0,0,233,187,6,6,0,0,0,0.54,0.43,0.01,0.01,0.9,0.12,0.11,44,0.37,29,0.25,NA,NA,NA,NA,NA,NA,0.39,18485,0,NA,NA,NA,NA,NA,0.79,25,0.76
"New Britain School District",890011,"K-12","Traditional","Suburban",28,5,10038,-0.01,6,206,1067,6857,558,1338,6,0,0.02,0.11,0.68,0.06,0.13,0.76,0.2,0.25,753,0.17,631,0.14,152,0.27,39,0.07,469,0.71,0.32,19901,0.29,0.55,0.32,0.08,0.01,0.05,1,641,0.89
"New Canaan School District",900011,"K-12","Traditional","Suburban",6,2,4060,-0.04,6,303,55,278,219,3194,6,0,0.08,0.01,0.07,0.05,0.79,0,0,0.14,1608,0.88,1611,0.88,275,0.93,222,0.75,304,0.96,0.04,26175,0,0.89,0,0.06,0.04,0,1,323,0.91
"New Fairfield School District",910011,"K-12","Traditional","Suburban",5,3,2123,-0.03,4,31,48,408,70,1557,4,0,0.02,0.02,0.19,0.03,0.73,0.19,0.04,0.19,615,0.67,604,0.66,141,0.79,96,0.54,176,0.97,0.11,22155,0,0.89,0.1,0.01,NA,NA,1,164,0.89
