"district","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_n","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"Colebrook School District",290011,"K-6","Traditional","Rural",1,0,61,-0.18,0,0,0,3,3,55,0,0,0,0,0.05,0.05,0.9,0.31,0,0.25,19,0.51,19,0.51,NA,NA,NA,NA,NA,NA,0,34174,0,0.95,0.05,NA,NA,NA,1,11,0.92
"Deep River School District",360011,"K-6","Traditional","Suburban",1,0,189,-0.2,0,0,2,19,2,165,2,0,0.01,0.01,0.1,0.01,0.87,0.32,0.05,0.18,69,0.63,72,0.66,NA,NA,NA,NA,NA,NA,0.09,29208,0,NA,NA,NA,NA,NA,1,21,0.88
"Elm City College Preparatory School District",2890013,"K-12","Charter","Urban",1,1,760,-0.01,0,0,454,277,16,6,6,0,0.01,0.6,0.36,0.02,0.01,0.78,0.12,0.12,137,0.38,106,0.29,17,0.53,6,0.19,40,0.77,0.26,16606,0,NA,NA,NA,NA,NA,1,27,0.59
"Stamford Charter School for Excellence District",2960013,"K-8","Charter","Urban",1,0,543,0.37,2,118,219,170,16,15,2,0,0.22,0.4,0.31,0.03,0.03,0.56,0.13,0.06,261,0.77,249,0.74,NA,NA,NA,NA,NA,NA,0.06,11220,0,NA,NA,NA,NA,NA,0.95,15,0.68
"Unified School District #2",3470015,"7-12","Stage agency","Urban",1,1,80,-0.16,0,0,20,27,6,27,0,0,0,0.25,0.34,0.07,0.34,0,0.04,0.89,9,0.53,9,0.53,6,0.5,6,0.5,NA,NA,0.3,NA,0,NA,NA,NA,NA,NA,NA,29,0.91
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",2530014,"7-12","Regional",NA,4,4,367,-0.23,0,0,15,76,35,241,0,0,0,0.04,0.21,0.1,0.66,0.42,0.02,0.42,0,NA,0,NA,45,0.59,7,0.09,38,0.83,0.4,48835,0,NA,NA,NA,NA,NA,NA,48,0.94
"Interdistrict School for Arts and Comm District",2650013,"K-8","Charter","Urban",1,0,328,0.18,2,2,51,191,36,45,0,0.01,0.01,0.16,0.58,0.11,0.14,0.68,0.16,0.2,157,0.51,102,0.33,NA,NA,NA,NA,NA,NA,0.15,17438,0,NA,NA,NA,NA,NA,0.96,17,0.71
"Park City Prep Charter School District",2830013,"K-8","Charter","Urban",1,0,434,0.2,3,3,190,206,7,25,0,0.01,0.01,0.44,0.47,0.02,0.06,0.7,0.15,0.09,177,0.43,115,0.29,NA,NA,NA,NA,NA,NA,0.19,16727,0,NA,NA,NA,NA,NA,1,15,0.71
"Great Oaks Charter School District",2940013,"7-12","Charter","Urban",1,1,662,0.19,8,19,275,328,8,25,0,0.01,0.03,0.42,0.5,0.01,0.04,0.82,0.19,0.17,63,0.25,46,0.18,26,0.34,8,0.11,49,0.74,0.31,17851,0,NA,NA,NA,NA,NA,0.9,24,0.6
"Regional School District 04",2040012,"7-12","Regional","Rural",3,2,646,-0.25,4,7,4,64,24,543,0,0.01,0.01,0.01,0.1,0.04,0.84,0.27,0.02,0.19,117,0.63,108,0.58,76,0.73,37,0.36,136,0.96,0.15,29496,0,NA,NA,NA,NA,NA,1,60,0.88
"Regional School District 05",2050012,"7-12","Regional","Rural",7,3,2138,-0.02,36,329,36,246,101,1390,0,0.02,0.15,0.02,0.12,0.05,0.65,0.17,0.02,0.14,542,0.73,512,0.69,259,0.81,168,0.53,337,0.97,0.05,22897,0,NA,NA,NA,NA,NA,1,170,0.89
"Regional School District 07",2070012,"7-12","Regional","Rural",7,6,818,-0.21,4,8,4,41,13,749,0,0,0.01,0,0.05,0.02,0.92,0.26,0.01,0.23,143,0.65,126,0.58,87,0.74,44,0.37,125,0.98,0.16,27204,0,NA,NA,NA,NA,NA,1,79,0.86
"Regional School District 08",2080012,"7-12","Regional","Rural",2,1,1075,-0.24,1,11,12,102,36,912,1,0,0.01,0.01,0.09,0.03,0.85,0.19,0,0.15,211,0.61,194,0.57,145,0.82,88,0.5,207,0.94,0.14,25449,0,NA,NA,NA,NA,NA,1,113,0.9
"Regional School District 11",2110012,"7-12","Regional","Rural",2,2,194,-0.06,3,3,3,21,3,160,0,0.02,0.02,0.02,0.11,0.02,0.82,0.55,0.02,0.26,34,0.51,24,0.36,9,0.5,9,0.5,11,1,0.17,29861,0,NA,NA,NA,NA,NA,1,21,0.88
"The Bridge Academy District",2690013,"7-12","Charter","Urban",1,1,281,0,0,2,140,127,7,2,2,0,0.02,0.5,0.45,0.02,0.01,0.85,0.05,0.17,34,0.36,16,0.17,22,0.48,6,0.13,37,0.92,0.25,18035,0,NA,NA,NA,NA,NA,1,16,0.94
"The Gilbert School District",9020022,"7-12","Traditional","Rural",1,1,452,-0.03,0,17,14,95,24,302,0,0,0.04,0.03,0.21,0.05,0.67,0.56,0.03,0.15,68,0.38,56,0.31,35,0.6,9,0.16,53,0.84,0.23,NA,1,NA,NA,NA,NA,NA,1,36,0.88
"Regional School District 01",2010012,"9-12","Regional","Rural",2,2,356,-0.02,0,2,2,45,17,289,0,0,0.01,0.01,0.13,0.05,0.81,0.3,0.04,0.15,0,NA,0,NA,55,0.66,40,0.48,55,0.95,0.28,37138,0,NA,NA,NA,NA,NA,1,31,0.79
"Common Ground High School District",2680013,"9-12","Charter","Urban",1,1,221,-0.01,2,2,72,103,7,34,0,0.01,0.01,0.33,0.47,0.03,0.15,0.64,0.07,0.29,NA,NA,NA,NA,22,0.5,10,0.22,37,0.72,0.48,23566,1,NA,NA,NA,NA,NA,0.93,19,0.73
"Connecticut Technical Education and Career System",9000016,"9-12","Regional CTE","Suburban",17,17,11296,0.03,16,85,1405,4990,583,4201,16,0,0.01,0.12,0.44,0.05,0.37,0.49,0.06,0.17,NA,NA,NA,NA,888,0.35,244,0.1,2517,0.97,0.16,29656,0.29,NA,NA,NA,NA,NA,0.97,1055,0.92
"Explorations District",2720013,"9-12","Charter","Rural",1,1,77,-0.17,0,0,6,10,6,55,0,0,0,0.08,0.13,0.08,0.71,0.58,0,0.38,NA,NA,NA,NA,11,0.52,3,0.14,15,0.65,0.41,19094,0,NA,NA,NA,NA,NA,1,10,0.83
"Norwich Free Academy District",9010022,"9-12","Traditional","Urban",4,4,2097,-0.07,21,143,389,611,108,819,6,0.01,0.07,0.19,0.29,0.05,0.39,0.59,0.15,0.12,NA,NA,NA,NA,252,0.51,88,0.18,478,0.89,0.3,NA,0,NA,NA,NA,NA,NA,0.99,142,0.89
"Regional School District 09",2090012,"9-12","Regional","Rural",1,1,712,-0.18,0,37,13,77,28,557,0,0,0.05,0.02,0.11,0.04,0.78,0.11,0,0.15,NA,NA,NA,NA,134,0.81,98,0.59,184,0.95,0.16,30920,0,NA,NA,NA,NA,NA,1,64,0.9
"Regional School District 19",2190012,"9-12","Regional","Rural",3,3,1061,-0.04,13,73,36,152,13,774,0,0.01,0.07,0.03,0.14,0.01,0.73,0.3,0.02,0.19,NA,NA,NA,NA,176,0.76,103,0.44,254,0.94,0.15,22736,0,NA,NA,NA,NA,NA,0.98,94,0.92
"The Woodstock Academy District",9030022,"9-12","Traditional","Rural",3,3,1022,-0.08,3,68,26,82,26,814,3,0,0.07,0.03,0.08,0.03,0.8,0.04,0,0.09,NA,NA,NA,NA,182,0.67,92,0.34,227,0.96,0.17,NA,0,NA,NA,NA,NA,NA,1,59,0.84
"Unified School District #1",3360015,"9-12","Stage agency","Suburban",11,11,145,-0.08,0,4,63,61,4,14,0,0,0.02,0.43,0.42,0.02,0.1,1,0.09,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.21,NA,NA,NA,NA,NA,NA,NA,NA,75,0.82
