"state","district","combined_district","supt_first_name","supt_last_name","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"Connecticut","Madison School District","Madison School District","Craig","Cooke",760011,"K-12","Traditional","Suburban",5,1,2445,-0.07,2,79,19,180,130,2032,2,0,0.03,0.01,0.07,0.05,0.83,0.05,0.01,0.17,881,0.81,868,0.8,155,0.85,112,0.61,0.95,0.05,25829,0,0.94,0.01,0.03,0.02,NA,1,220,0.92
"Connecticut","Naugatuck School District","Naugatuck School District","Melissa","Cooney",880011,"K-12","Traditional","Suburban",13,3,4095,-0.06,6,88,532,1685,200,1577,6,0,0.02,0.13,0.41,0.05,0.39,0.58,0.14,0.2,776,0.43,577,0.32,112,0.39,35,0.12,0.88,0.19,17922,0,0.75,0.07,0.16,0,0.01,0.99,272,0.89
"Connecticut","Sherman School District","Sherman School District","Patricia","Cosentino",1270011,"K-8","Traditional","Rural",1,0,231,-0.16,0,2,2,19,16,193,0,0,0.01,0.01,0.08,0.07,0.84,0.03,0,0.1,100,0.72,91,0.66,NA,NA,NA,NA,NA,0.12,27183,0,0.88,0.04,0.08,NA,NA,1,28,0.88
"Connecticut","Thomaston School District","Thomaston School District","Francine","Coss",1400011,"K-12","Traditional","Suburban",4,2,777,-0.09,0,18,14,95,28,622,0,0,0.02,0.02,0.12,0.04,0.8,0.4,0.02,0.16,191,0.51,149,0.39,27,0.68,10,0.25,0.96,0.14,21747,0,0.95,0.05,NA,NA,NA,1,59,0.88
"Connecticut","EdAdvance","EdAdvance","Jonathan","Costa",2420014,"9-12","Regional","Rural",6,3,263,-0.01,5,5,21,101,14,117,0,0.02,0.02,0.08,0.38,0.05,0.44,0.67,0.02,0.39,11,0.52,4,0.5,4,0.5,4,0.5,NA,0.47,59528,NA,NA,NA,NA,NA,NA,0.95,21,0.84
"Connecticut","Regional School District 19","Regional School District 19","Sharon","Cournoyer",2190012,"9-12","Regional","Rural",3,3,1061,-0.04,13,73,36,152,13,774,0,0.01,0.07,0.03,0.14,0.01,0.73,0.3,0.02,0.19,NA,NA,NA,NA,176,0.76,103,0.44,0.94,0.15,22736,0,NA,NA,NA,NA,NA,0.98,94,0.92
"Connecticut","New Fairfield School District","New Fairfield School District","Kenneth","Craw",910011,"K-12","Traditional","Suburban",5,3,2123,-0.03,4,31,48,408,70,1557,4,0,0.02,0.02,0.19,0.03,0.73,0.19,0.04,0.19,615,0.67,604,0.66,141,0.79,96,0.54,0.97,0.11,22155,0,0.89,0.1,0.01,NA,NA,1,164,0.89
"Connecticut","Connecticut Technical Education and Career System","Connecticut Technical Education and Career System","Michael","Crocco",9000016,"9-12","Regional CTE","Suburban",17,17,11296,0.03,16,85,1405,4990,583,4201,16,0,0.01,0.12,0.44,0.05,0.37,0.49,0.06,0.17,NA,NA,NA,NA,888,0.35,244,0.1,0.97,0.16,29656,0.29,NA,NA,NA,NA,NA,0.97,1055,0.92
"Connecticut","Pomfret School District","Pomfret School District","Michael","Cummings",1120011,"K-8","Traditional","Rural",1,0,333,-0.14,0,4,4,19,8,298,0,0,0.01,0.01,0.06,0.02,0.89,0.23,0.01,0.17,133,0.61,152,0.7,NA,NA,NA,NA,NA,0.08,22226,0,0.98,0.02,0,NA,NA,1,27,0.75
"Connecticut","Simsbury School District","Simsbury School District","Matthew","Curtis",1280011,"K-12","Traditional","Suburban",8,2,4127,0.01,2,259,259,463,230,2913,2,0,0.06,0.06,0.11,0.06,0.71,0.17,0.02,0.18,1516,0.79,1422,0.74,241,0.83,161,0.56,0.96,0.09,20807,0,0.93,0.02,0.03,0.02,NA,1,303,0.9
"Connecticut","Milford School District","Milford School District","Anna","Cutaia",840011,"K-12","Traditional","Suburban",16,5,5218,-0.07,4,402,253,883,263,3408,4,0,0.08,0.05,0.17,0.05,0.65,0.31,0.03,0.19,1303,0.59,1321,0.6,269,0.72,148,0.4,0.92,0.14,25639,0,0.89,0.03,0.03,0.05,0,1,455,0.93
"Connecticut","Achievement First Bridgeport Academy District","Achievement First Bridgeport Academy District","Amy","D’Angelo",2850013,"K-12","Charter","Urban",1,1,1090,-0.02,5,5,570,474,14,22,0,0,0,0.52,0.43,0.01,0.02,0.74,0.15,0.14,210,0.4,115,0.22,30,0.64,11,0.23,0.9,0.27,14616,0,NA,NA,NA,NA,NA,0.94,29,0.54
"Connecticut","Ridgefield School District","Ridgefield School District","Susie","Da Silva",1180011,"K-12","Traditional","Rural",21,4,4484,-0.05,5,287,33,429,216,3509,5,0,0.07,0.01,0.1,0.05,0.78,0.08,0.02,0.19,1603,0.79,1589,0.78,315,0.9,232,0.66,0.96,0.05,25292,0,0.81,0.03,0.14,0.02,NA,1,337,0.91
"Connecticut","Area Cooperative Educational Services","Area Cooperative Educational Services","Thomas","Danehy",2440014,"K-12","Regional","Suburban",10,5,1726,-0.06,4,44,567,580,98,430,4,0,0.03,0.33,0.34,0.06,0.25,0.5,0.05,0.49,280,0.31,208,0.23,4,0.12,0,0,NA,0.31,52153,0,NA,NA,NA,NA,NA,0.97,159,0.83
