"lea_state","district_code","district","n_el","n_tot","missing","pct_el"
"NH","3306000","Rumney School District",0,83,1,0
"NH","3306030","Rye School District",1,379,1,0
"NH","3306060","Salem School District",160,3487,1,0.05
"NH","3306080","Sanborn Regional School District",12,1441,0,0.01
"NH","3306150","Seabrook School District",13,681,0,0.02
"NH","3306180","Shaker Regional School District",4,1178,0,0
"NH","3306240","Somersworth School District",7,1297,0,0.01
"NH","3306260","Souhegan Cooperative School District",3,701,0,0
"NH","3306270","South Hampton School District",0,86,1,0
"NH","3306330","Stark School District",0,25,1,0
"NH","3306360","Stewartstown School District",0,61,1,0
"NH","3306390","Stoddard School District",0,62,1,0
"NH","3306420","Strafford School District",0,412,1,0
"NH","3306450","Stratford School District",0,59,1,0
"NH","3306480","Stratham School District",6,517,0,0.01
"NH","3306540","Sunapee School District",0,381,3,0
"NH","3306600","Tamworth School District",2,194,0,0.01
"NH","3306660","Thornton School District",0,188,1,0
"NH","3306720","Timberlane Regional School District",21,3229,0,0.01
"NH","3306750","Unity School District",0,91,1,0
"NH","3306780","Wakefield School District",0,451,0,0
"NH","3306870","Warren School District",0,62,1,0
"NH","3306900","Washington School District",0,39,1,0
"NH","3306910","Waterville Valley School District",4,53,0,0.08
"NH","3306930","Weare School District",8,859,0,0.01
"NH","3306990","Wentworth School District",1,69,0,0.01
"NH","3307020","Westmoreland School District",0,110,1,0
"NH","3307050","White Mountain Regional School District",9,975,0,0.01
"NH","3307115","Wilton-Lyndeboro School District",0,540,4,0
"NH","3307140","Winchester School District",0,348,1,0
"NH","3307170","Windham School District",51,2971,0,0.02
"NH","3307230","Winnacunnet Coop School District",8,1133,0,0.01
"NH","3307300","Winnisquam Regional School District",8,1339,2,0.01
"NH","3307330","Coe Brown Academy School District",0,691,1,0
"NH","3307360","Pinkerton Academy School District",11,3119,0,0
"NH","3399923","Haverhill Cooperative SAU Office",0,31,2,0
"NH","3399965","Pemi-baker Regional School District",0,676,1,0
"NH","33SOP01","JUVENILE JUSTICE SERVICES - SYSC",0,83,1,0
"VT","5000024","Rivendell Interstate School District",0,463,2,0
"VT","5000390","Barstow Unified School District",2,199,0,0.01
"VT","5000392","Otter Valley Unified Union School District #53",0,1237,4,0
"VT","5000393","Mill River Unified School District",0,792,5,0
"VT","5000395","Essex-Westford Educational Community Unified School District",154,3981,0,0.04
"VT","5000396","Champlain Valley Unified School District",118,3830,0,0.03
"VT","5000397","Lamoille North Modified USD #058B",2,773,1,0
"VT","5000398","Addison Northwest Unified School District",5,933,0,0.01
"VT","5000399","Maple Run Unified School District",15,2500,0,0.01
"VT","5000400","Orange Southwest Unified School District",3,882,2,0
"VT","5000401","Lamoille North Modified USD #058A",3,531,1,0.01
"VT","5000402","Addison Central Unified School District",13,1657,5,0.01
"VT","5000403","Harwood Unified School District",3,1958,4,0
"VT","5000408","Paine Mountain School District",2,991,2,0
"VT","5000409","Wells Spring Unified Union School District",0,121,2,0
"VT","5000410","Montpelier Roxbury Unified Union School District",60,1170,0,0.05
"VT","5000411","Quarry Valley Unified Union School District #70",0,984,5,0
"VT","5000412","Caledonia Cooperative Unified School District",1,401,2,0
"VT","5000417","Taconic and Green Regional School District",20,974,3,0.02
"VT","5000418","Twin Valley Unified School District",0,401,2,0
"VT","5000419","Mettawee School District",2,129,0,0.02
"VT","5000421","Kingdom East Unified Union School District",7,1140,3,0.01
"VT","5000422","Ludlow Mt. Holly Unified Union School District",2,180,0,0.01
"VT","5000423","Rochester Stockbridge Unified School District",2,108,0,0.02
"VT","5000425","Mt. Abraham Unified School District",0,1317,6,0
"VT","5000426","White River Unified School District",2,555,3,0
"VT","5000427","Green Mountain Unified School District",1,678,2,0
"VT","5000429","First Branch Unified School District",1,218,1,0
"VT","5000430","Echo Valley Community School District",0,176,2,0
"VT","5000431","Windham Southeast School District",22,2154,3,0.01
"VT","5000432","West River Valley Modified Union Education District #72B",1,279,0,0
"VT","5000433","Missisquoi Valley School District #89",9,1662,1,0.01
"VT","5000434","Southwest Vermont Union Elementary School District #87",4,1447,4,0
"VT","5000435","Champlain Islands Unified Union School District #66",0,212,2,0
"VT","5000436","Lake Region Union Elementary Middle School District",0,670,5,0
"VT","5000437","Oxbow Unified Union School District #91",0,899,4,0
"VT","5000438","Orleans Southwest Union Elementary School District #94",1,338,2,0
"VT","5000439","Washington Central Unified Union School District #92",5,1369,2,0
"VT","5000440","Slate Valley Unified Union School District #62",0,1133,4,0
"VT","5000441","Northern Mountain Valley Unified Union School District #85",15,778,1,0.02
"VT","5000442","Mount Ascutney School District #86",2,619,0,0
"VT","5000443","Mount Mansfield Unified Union School District #401",2,2418,4,0
"VT","5000444","Enosburgh-Richford Unified Union School District #88",7,1107,1,0.01
"VT","5000445","Barre Unified Union School District #97",5,2284,0,0
"VT","5000446","Windham Northeast Union Elementary School District #95",0,200,2,0
"VT","5000447","River Valleys Unified School District #73",1,102,1,0.01
"VT","5000448","Lamoille South Unified Union School District #90",10,1452,2,0.01
